Top 5000 Words,Nouns,Verbs,Adjectives,Adverbs,Conjunctions
the,time,be,other,so,and
be,people,have,good,just,that
and,year,do,new,up,but
a,way,say,great,out,or
of,thing,go,big,how,as
to,man,get,high,now,if
in,day,can,old,here,when
i,life,know,bad,then,than
you,woman,will,different,more,because
it,world,would,american,well,while
have,child,make,little,also,so
to,school,think,sure,very,where
that,state,see,small,back,since
for,family,come,right,there,though
do,president,take,large,even,after
he,house,want,real,only,until
with,student,could,best,really,whether
on,part,look,long,why,before
this,place,use,young,right,although
n't,problem,tell,important,down,even
we,country,find,only,on,like
that,week,give,national,too,unless
not,point,need,black,still,nor
but,hand,should,social,never,once
they,group,work,able,in,long
say,guy,try,political,when,except
at,case,let,public,as,now
what,question,call,white,where,far
his,work,may,better,all,for
from,night,mean,late,most,soon
go,game,feel,free,over,in
or,number,ask,sorry,again,rather
by,money,talk,low,always,and/or
get,lot,keep,human,off,whereas
she,book,leave,TRUE,about,not
my,system,put,whole,today,till
can,government,like,easy,ever,case
as,city,help,hard,maybe,provided
know,company,start,early,far,considering
if,story,become,possible,away,given
me,job,happen,wrong,actually,
your,friend,show,full,long,
all,word,seem,local,okay,
who,fact,might,strong,yet,
about,right,hear,fine,much,
their,month,believe,federal,however,
will,program,play,nice,around,
so,business,turn,special,least,
would,home,run,major,already,
make,kind,live,economic,together,
just,study,write,happy,often,
up,issue,bring,clear,ago,
think,name,move,dead,once,
time,idea,must,personal,enough,
there,room,begin,military,almost,
see,percent,love,open,later,
her,law,hold,international,probably,
as,power,read,certain,else,
out,kid,stop,recent,course,
one,war,pay,available,home,
come,head,provide,ready,both,
people,mother,lose,single,little,
take,team,understand,current,better,
year,eye,wait,likely,please,
him,side,meet,general,sometimes,
them,water,thank,short,perhaps,
some,service,change,red,less,
want,area,watch,close,especially,
how,person,sit,medical,pretty,
when,end,create,difficult,quite,
which,hour,learn,private,finally,
now,line,kill,simple,either,
like,girl,include,poor,early,
other,father,stand,common,simply,
could,information,follow,similar,exactly,
our,car,remember,past,soon,
into,minute,speak,hot,no,
here,party,set,natural,before,
then,back,allow,significant,certainly,
than,health,win,entire,nearly,
look,reason,lead,serious,ok,
way,member,continue,financial,tonight,
more,community,spend,beautiful,hard,
these,news,stay,interesting,recently,
no,body,add,left,usually,
thing,level,die,foreign,forward,
well,boy,buy,huge,quickly,
because,university,send,physical,thus,
also,change,walk,legal,rather,
two,center,grow,final,that,
use,face,open,perfect,et,
tell,food,consider,safe,clearly,
good,history,hope,supposed,particularly,
first,result,offer,central,completely,
man,morning,build,main,bit,
day,parent,expect,dark,lot,
find,office,fall,blue,best,
give,research,appear,specific,absolutely,
more,door,serve,global,instead,
new,court,break,various,anyway,
one,moment,end,top,close,
us,street,require,green,indeed,
any,policy,listen,necessary,kind,
those,table,agree,cool,tomorrow,
very,care,cut,democratic,ahead,
her,process,decide,cold,fast,
need,teacher,pass,religious,therefore,
back,data,eat,deep,through,
there,death,report,middle,obviously,
should,experience,suggest,original,alone,
even,plan,sell,particular,eventually,
only,education,support,positive,by,
many,age,receive,popular,immediately,
really,sense,base,total,directly,
work,show,pick,rich,suddenly,
life,college,drive,individual,easily,
why,music,reach,tough,anymore,
right,mind,remain,far,etc,
down,class,explain,crazy,generally,
on,police,hit,okay,along,
try,use,pull,key,inside,
let,effect,raise,sexual,mostly,
something,season,wear,modern,definitely,
too,tax,return,wide,sure,
call,heart,choose,civil,otherwise,
woman,son,cause,normal,highly,
may,art,join,professional,truly,
still,market,teach,traditional,apparently,
through,air,develop,environmental,totally,
mean,force,share,funny,currently,
after,foot,carry,effective,yesterday,
never,baby,miss,previous,somewhere,
no,love,realize,nuclear,seriously,
world,republican,save,afraid,like,
in,interest,catch,heavy,am,
feel,security,cover,just,fully,
yeah,control,describe,cultural,below,
great,rate,guess,successful,basically,
last,report,face,fair,twice,
child,nation,check,future,above,
oh,action,fight,interested,slowly,
over,wife,produce,fresh,possibly,
ask,decision,throw,critical,somehow,
when,value,care,powerful,straight,
as,phone,shoot,willing,slightly,
school,thanks,forget,senior,anywhere,
state,event,focus,potential,relatively,
much,site,point,quick,extremely,
talk,church,note,basic,forever,
out,model,sound,very,deep,
keep,relationship,deal,additional,outside,
leave,movie,increase,involved,pm,
put,field,close,concerned,ultimately,
like,player,lie,wonderful,unfortunately,
help,couple,draw,christian,entirely,
big,record,plan,like,specifically,
where,difference,drop,amazing,though,
same,light,push,alive,late,
all,development,wonder,healthy,neither,
own,role,involve,commercial,under,
while,view,enjoy,alone,significantly,
start,price,seek,sweet,largely,
three,effort,protect,sick,everywhere,
high,voice,represent,average,increasingly,
every,department,fill,stupid,necessarily,
another,leader,state,chinese,previously,
become,photo,place,responsible,hardly,
most,space,fail,smart,personally,
between,project,vote,southern,carefully,
happen,position,compare,western,forth,
family,million,identify,british,meanwhile,
over,film,reduce,following,barely,
president,need,act,complete,apart,
old,type,worry,fun,part,
yes,town,accept,present,likely,
house,article,enter,actual,typically,
show,road,mention,negative,merely,
again,form,wish,regular,somewhat,
student,chance,determine,dangerous,aside,
so,drug,claim,favorite,frequently,
seem,situation,answer,independent,behind,
might,practice,prove,front,online,
part,science,hang,online,literally,
hear,brother,argue,aware,perfectly,
its,matter,occur,extra,whenever,
place,image,imagine,light,essentially,
problem,star,present,european,deeply,
where,cost,figure,multiple,fairly,
believe,post,laugh,wild,first,
country,society,discuss,presidential,closely,
always,picture,finish,daily,regardless,
week,piece,recognize,female,surely,
point,paper,apply,warm,constantly,
hand,energy,prepare,clean,primarily,
off,building,name,tiny,general,
play,doctor,rise,mental,widely,
turn,activity,force,glad,approximately,
few,american,sign,quiet,elsewhere,
group,media,hurt,bright,strongly,
such,evidence,lay,annual,rarely,
against,product,indicate,primary,effectively,
run,arm,exist,strange,particular,
guy,technology,remove,active,equally,
about,comment,avoid,direct,potentially,
case,look,release,impossible,virtually,
question,term,treat,moral,normally,
work,color,hate,academic,moreover,
night,choice,visit,scientific,fucking,
live,source,arrive,african,originally,
game,mom,notice,gay,properly,
number,director,affect,appropriate,heavily,
write,rule,design,obvious,besides,
bring,campaign,respond,broad,nowhere,
without,ground,control,correct,roughly,
money,election,manage,married,initially,
lot,page,post,historical,naturally,
most,test,assume,unique,hopefully,
book,patient,perform,familiar,honestly,
system,video,sleep,french,precisely,
government,support,reveal,sad,similarly,
next,rest,contain,famous,occasionally,
city,step,beat,grand,since,
company,opportunity,improve,lucky,regularly,
story,official,head,proud,publicly,
today,oil,address,angry,rapidly,
job,call,relate,native,mainly,
move,organization,step,supreme,nevertheless,
