,Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_time,ans_prob_obs_edit_subject_people,ans_prob_obs_edit_subject_year,ans_prob_obs_edit_subject_way,ans_prob_obs_edit_subject_thing,ans_prob_obs_edit_subject_man,ans_prob_obs_edit_subject_day,ans_prob_obs_edit_subject_life,ans_prob_obs_edit_subject_woman,ans_prob_obs_edit_subject_world,ans_prob_obs_edit_subject_child,ans_prob_obs_edit_subject_school,ans_prob_obs_edit_subject_state,ans_prob_obs_edit_subject_family,ans_prob_obs_edit_subject_president,ans_prob_obs_edit_subject_house,ans_prob_obs_edit_subject_student,ans_prob_obs_edit_subject_part,ans_prob_obs_edit_subject_place,ans_prob_obs_edit_subject_problem,ans_prob_obs_edit_subject_country,ans_prob_obs_edit_subject_week,ans_prob_obs_edit_subject_point,ans_prob_obs_edit_subject_hand,ans_prob_obs_edit_subject_group,ans_prob_obs_edit_subject_guy,ans_prob_obs_edit_subject_case,ans_prob_obs_edit_subject_question,ans_prob_obs_edit_subject_work,ans_prob_obs_edit_subject_night,ans_prob_obs_edit_subject_game,ans_prob_obs_edit_subject_number,ans_prob_obs_edit_subject_money,ans_prob_obs_edit_subject_lot,ans_prob_obs_edit_subject_book,ans_prob_obs_edit_subject_system,ans_prob_obs_edit_subject_government,ans_prob_obs_edit_subject_city,ans_prob_obs_edit_subject_company,ans_prob_obs_edit_subject_story
0,0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,0.008232928812503815,4.932623414788395e-05,4.308678398956545e-05,4.0127666579792276e-05,0.00017828487034421414,3.3966942282859236e-05,4.015790545963682e-05,2.223408046120312e-05,0.00017379938799422234,7.417482993332669e-05,7.704684321652167e-06,5.073669854027685e-06,5.615540794678964e-05,4.81130382468109e-06,6.267333083087578e-05,0.0002444060519337654,7.415843720082194e-05,5.70441952731926e-05,2.0324271190474974e-06,5.249270179774612e-05,7.056248705339385e-06,3.084303534706123e-05,0.00028207313152961433,1.063167928805342e-05,1.991261524381116e-05,3.6630048271035776e-05,0.000118720592581667,2.1139550881343894e-05,6.966000364627689e-05,3.366450982866809e-05,0.00010508949344512075,0.00018619083857629448,8.067946509981994e-06,4.478041773836594e-06,2.291677810717374e-05,0.00015536294085904956,0.00029956549406051636,1.0382800610386766e-05,0.00013844446220900863,0.00011114060907857493,0.00010725535685196519,1.6402595065301284e-05
1,1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,0.0008711694972589612,0.00025853849365375936,0.0001678796106716618,0.00018591458501759917,9.150751429842785e-05,0.00023439430515281856,0.00011850904411403462,0.00025025627110153437,0.0002446741855237633,0.00010589890007395297,0.0002036456426139921,0.00020270601089578122,9.347200830234215e-05,0.0002559198474045843,1.8618851754581556e-05,0.00036122265737503767,0.00015832619101274759,0.00011938223178731278,0.0001350365491816774,1.7154248780570924e-05,0.00015252279990818352,2.3101882106857374e-05,0.000262604997260496,0.00016874901484698057,5.9770140069304034e-05,8.360244100913405e-05,0.00014803798694629222,0.00025809049839153886,0.00015612633433192968,3.1754563678987324e-05,0.0001487710396759212,0.00017817433399613947,4.5439741370501e-05,8.211846579797566e-05,0.00011884372361237183,0.00013735970424022526,0.00016782473539933562,9.38615485210903e-05,5.563266313401982e-05,0.00019650017202366143,0.0003277231880929321,5.294225411489606e-05
2,2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,8.411989983869717e-05,0.0004912512376904488,0.00047818178427405655,0.00021834975632373244,0.00035879050847142935,0.0004320562875363976,0.0001694022648734972,0.0009373340290039778,0.00086398288840428,0.0003180931671522558,0.000386793544748798,0.0005972051876597106,0.00017811937141232193,0.00020513318304438144,8.179070573532954e-05,0.0009027660707943141,0.0001635445369174704,0.0003082728944718838,0.00010630148608470336,8.77499405760318e-05,0.0005779102793894708,4.742669625557028e-05,0.0012930560624226928,0.0009706616983748972,0.0004437925526872277,0.00010642874985933304,0.0008641374879516661,0.001562288380227983,0.0002040927211055532,7.110479782568291e-05,0.00021935325639788061,0.0004988453001715243,0.0002086454042000696,0.00021888857008889318,0.00010310688230674714,0.0013923492515459657,0.00033397835795767605,0.00011508213356137276,7.019630720606074e-05,0.0005284424405544996,0.0011965319281443954,0.00019074096053373069
3,3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,0.001990450546145439,0.0024354520719498396,0.0013842686312273145,0.0022463821806013584,0.001717012608423829,0.003128601238131523,0.0007393384585157037,0.004763181786984205,0.00195264199282974,0.0013237408129498363,0.008628417737782001,0.001521259662695229,0.002399496268481016,0.0020258957520127296,0.0008310493431054056,0.0021890222560614347,0.0029191982466727495,0.0006487118080258369,0.0014352542348206043,0.00013254616351332515,0.0012291548773646355,0.00016820785822346807,0.011776484549045563,0.0011699032038450241,0.001648796140216291,0.001452521770261228,0.005469055846333504,0.0040084621869027615,0.003009754465892911,0.0025874662678688765,0.0014586951583623886,0.001986235613003373,0.0008949143229983747,0.0016485591186210513,0.005078490823507309,0.0008378550410270691,0.0026171328499913216,0.0038038042839616537,0.0035736518912017345,0.0015207018004730344,0.008286903612315655,0.0008529361221008003
4,4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,0.0001276375405723229,0.0002599450235720724,0.0003975820727646351,0.00026281908503733575,0.00034386490005999804,0.0003691718738991767,0.0004922365769743919,0.00018166810332331806,0.00032654794631525874,0.00019181448442395777,0.0001492046721978113,0.00020848333952017128,0.00025184827973134816,0.00019012828124687076,0.00014228203508537263,0.00018091814126819372,6.689475412713364e-05,0.000243121525272727,9.09671070985496e-05,0.00020740619220305234,0.00020185303583275527,0.00014125413144938648,0.0001826735242502764,0.00041420862544327974,0.0002858906809706241,0.00017006273264996707,0.00018045646720565856,0.00023541571863461286,0.00026189303025603294,0.00010820189345395193,0.0002986760518979281,0.0003229090361855924,0.00017581190331839025,0.0001705798349576071,0.00019745176541619003,0.0005194678669795394,0.00031036563450470567,0.0005577320116572082,0.00023040927771944553,0.0003250303561799228,0.00016044899530243129,0.00027811049949377775
5,5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,0.0023919674567878246,0.007725769653916359,0.002965243300423026,0.0037562514189630747,0.002137619536370039,0.010053111240267754,0.0021695694886147976,0.009748228825628757,0.003592457389459014,0.0017518013482913375,0.008688016794621944,0.005477990489453077,0.000938896497245878,0.0024505923502147198,0.0011684041237458587,0.0072352085262537,0.003257008269429207,0.0016184194246307015,0.0015277201309800148,0.00023006352421361953,0.002332072239369154,0.00038247444899752736,0.00986524298787117,0.006369626149535179,0.0049592433497309685,0.001025404199026525,0.00586715480312705,0.0176713727414608,0.005831651855260134,0.0008297516615130007,0.0030425083823502064,0.0021153250709176064,0.002663298975676298,0.0012705979170277715,0.0037188236601650715,0.005747547373175621,0.0029207218904048204,0.004319596569985151,0.0014630762161687016,0.003875453257933259,0.016825202852487564,0.0025292455684393644
6,6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,5.075889475847362e-06,3.870691216434352e-05,4.776762216351926e-05,8.033976882870775e-06,1.9702076315297745e-05,0.00033432961208745837,2.345945540582761e-05,0.0001322401949437335,0.00021953476243652403,3.1776344258105382e-06,0.00010217141243629158,0.00015690806321799755,4.827824159292504e-05,7.338789146160707e-05,2.2350254766934086e-06,0.0003509761008899659,3.920218205166748e-06,6.975468568271026e-05,6.219860097189667e-06,9.016665103445121e-07,3.9407073927577585e-05,6.337337481454597e-07,0.00019722948491107672,1.956505911948625e-05,1.9887871530954726e-05,1.2437229088391177e-05,4.6277251385618e-05,0.0001828144013416022,6.793096872570459e-06,9.028079972495107e-08,2.5607146199035924e-06,4.469835403142497e-05,5.52349820281961e-06,7.6207329584576655e-06,1.3780821063846815e-05,0.00016197828517761081,4.607766095432453e-05,2.0095380932616536e-06,4.364134383649798e-06,8.364330278709531e-05,4.407915548654273e-05,6.984681931498926e-06
7,7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,2.735403541009873e-05,6.602785288123414e-05,4.9758666136767715e-05,2.8136428227298893e-05,2.8471165933297016e-05,0.00043768121395260096,3.9917416870594025e-05,0.0001488131529185921,0.00019629081361927092,2.3943437554407865e-05,0.00010186335566686466,0.00010856094741029665,3.4904256608569995e-05,0.00017850339645519853,3.03109973174287e-05,0.00036120330332778394,2.17265678656986e-05,9.01866951608099e-05,1.883958248072304e-05,1.2177661119494587e-05,0.00010080703214043751,1.8056871340377256e-05,0.0002707052626647055,7.034804002614692e-05,5.035011417930946e-05,1.5197811990219634e-05,0.0001803873892640695,0.00021128241496626288,3.638714042608626e-05,1.2465322470234241e-05,2.1736035705544055e-05,4.513141175266355e-05,2.4468185074510984e-05,2.5191260647261515e-05,1.7845211914391257e-05,0.0004399407480377704,5.0607977755134925e-05,1.6933023289311677e-05,2.527291144360788e-05,0.00015578880265820771,0.00014799009659327567,2.5192246539518237e-05
8,8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,2.9115126380929723e-06,0.02449272759258747,0.023972993716597557,0.026261210441589355,0.029666829854249954,0.02450047805905342,0.015429737977683544,0.029244041070342064,0.037651125341653824,0.009407983161509037,0.024247560650110245,0.016652189195156097,0.016716888174414635,0.020080504938960075,0.030866822227835655,0.03734585642814636,0.06192483752965927,0.010256639681756496,0.06073213741183281,0.048578739166259766,0.023239098489284515,0.010723832063376904,0.05067748203873634,0.042173657566308975,0.05235698074102402,0.021913979202508926,0.05333683639764786,0.043332699686288834,0.030869070440530777,0.026877567172050476,0.01839509792625904,0.022018833085894585,0.0232013501226902,0.02883017249405384,0.08661723136901855,0.01871500536799431,0.05320937559008598,0.021307015791535378,0.04537918046116829,0.00313762528821826,0.035486843436956406,0.016935385763645172
9,9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,2.517986672501138e-07,3.0784417504037265e-06,1.9381420770514524e-06,3.7343677377066342e-06,2.6677219011617126e-06,5.058253009337932e-06,1.046068177856796e-06,4.392188657220686e-06,2.6753316433314467e-06,3.044061941182008e-06,2.888407834689133e-06,6.398829100362491e-06,2.299153493368067e-06,1.2367302133498015e-06,3.336557711008936e-06,5.410275321082736e-07,1.5235532373480964e-06,1.281611503145541e-06,1.3114214425513637e-06,5.267187134450069e-06,2.1986365936754737e-06,3.20812750942423e-06,6.885913990117842e-06,3.773225671466207e-06,6.474020210589515e-06,1.8916174440164468e-06,4.000486569566419e-06,1.3300603995958227e-06,1.099214955502248e-06,1.577070975145034e-06,4.06728349844343e-06,2.592792725408799e-06,1.9388126020203345e-06,6.967314675421221e-06,6.797194600949297e-06,5.785390840173932e-06,3.830749392363941e-06,4.488087597565027e-06,1.8139292023988673e-06,9.129760769610584e-07,6.505196779471589e-06,1.920349859574344e-06
