,Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_so,ans_prob_obs_edit_subject_just,ans_prob_obs_edit_subject_up,ans_prob_obs_edit_subject_out,ans_prob_obs_edit_subject_how,ans_prob_obs_edit_subject_now,ans_prob_obs_edit_subject_here,ans_prob_obs_edit_subject_then,ans_prob_obs_edit_subject_more,ans_prob_obs_edit_subject_well,ans_prob_obs_edit_subject_also,ans_prob_obs_edit_subject_very,ans_prob_obs_edit_subject_back,ans_prob_obs_edit_subject_there,ans_prob_obs_edit_subject_even,ans_prob_obs_edit_subject_only,ans_prob_obs_edit_subject_really,ans_prob_obs_edit_subject_why,ans_prob_obs_edit_subject_right,ans_prob_obs_edit_subject_down,ans_prob_obs_edit_subject_on,ans_prob_obs_edit_subject_too,ans_prob_obs_edit_subject_still,ans_prob_obs_edit_subject_never,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_when,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_where,ans_prob_obs_edit_subject_all,ans_prob_obs_edit_subject_most,ans_prob_obs_edit_subject_over,ans_prob_obs_edit_subject_again,ans_prob_obs_edit_subject_always,ans_prob_obs_edit_subject_off,ans_prob_obs_edit_subject_about,ans_prob_obs_edit_subject_today,ans_prob_obs_edit_subject_ever,ans_prob_obs_edit_subject_maybe,ans_prob_obs_edit_subject_far,ans_prob_obs_edit_subject_away
0,0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,0.008232928812503815,4.932623414788395e-05,2.9201308279880323e-05,0.00012310189777053893,5.0612375162018e-06,5.840314315719297e-06,7.660860865144059e-05,2.994503483932931e-05,0.00011338090553181246,2.6437332962814253e-06,4.4581938709598035e-05,0.00018591931439004838,0.00014586532779503614,1.0706446119002067e-05,5.101781789562665e-05,7.342096068896353e-05,0.0002090322959702462,0.00018556522263679653,0.00012192060239613056,1.3940360076958314e-05,5.532795512408484e-06,9.086488717002794e-06,1.650130798225291e-05,1.7112446585088037e-05,0.00023896663333289325,5.172246164875105e-05,8.590188372181728e-06,6.536950422741938e-06,1.077677370631136e-05,5.677646186086349e-06,1.1390123290766496e-05,2.3866066840128042e-05,6.344761459331494e-06,1.55214402184356e-05,7.012614514678717e-05,1.6501286154380068e-05,1.4138642654870637e-05,0.00014824287791270763,7.977736458997242e-06,9.683184907771647e-05,9.850232891039923e-05,9.231654985342175e-05
1,1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,0.0008711694972589612,0.00025853849365375936,0.0002199949958594516,0.00019180815434083343,0.000232591773965396,0.00021824927534908056,0.00010222888522548601,5.32229314558208e-05,0.00015243218513205647,3.628309423220344e-05,0.000260556727880612,0.0001622192357899621,4.7552577598253265e-05,0.00021781629766337574,0.0002045563014689833,0.00018319448281545192,0.00013535370817407966,0.00034693992347456515,0.0001194969008793123,9.521494212094694e-05,7.686086610192433e-05,0.0003702915273606777,0.00011507883027661592,0.00022461818298324943,3.771504998439923e-05,0.00013192683400120586,0.0002585327310953289,9.848232002696022e-05,9.616724128136411e-05,0.0001289641368202865,8.16125248093158e-05,0.000282218970824033,0.00013274308003019542,5.2771421906072646e-05,6.28645284450613e-05,5.3830124670639634e-05,9.253343159798533e-05,0.00024753063917160034,0.00012504328333307058,0.000170051513123326,0.00011245277710258961,0.00023440179938916117
2,2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,8.411989983869717e-05,0.0004912512376904488,0.00035149234463460743,0.000379449687898159,0.0007017012685537338,0.0008959061815403402,0.0003273040638305247,0.0002043691638391465,0.000658371951431036,9.809095354285091e-05,0.0006145840743556619,0.00031933689024299383,0.0001484690437791869,0.0003773798234760761,0.0005082333809696138,0.0005225039785727859,0.001079461188055575,0.0011262819170951843,0.0003095295396633446,0.0006247624405659735,0.00016334101383108646,0.0010903666261583567,0.0004091874579899013,0.0004756336275022477,0.00013770232908427715,0.00023907871218398213,0.00088085065362975,0.00031575653702020645,0.0005512804491445422,0.0005951945786364377,0.00031895822030492127,0.0009629203123040497,0.00019125557446386665,0.00032430398277938366,0.00014381424989551306,0.00040636115591041744,0.00027955722180195153,0.001065501943230629,0.000686883635353297,0.0005772947333753109,0.00028909515822306275,0.0007632298511452973
3,3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,0.001990450546145439,0.0024354520719498396,0.0013958083000034094,0.002237310167402029,0.0027343169786036015,0.00234245671890676,0.0005270210094749928,0.0019112465670332313,0.002008537296205759,0.0003572199202608317,0.0014958727406337857,0.0015059420838952065,0.000820320681668818,0.0017135987291112542,0.0031040681060403585,0.002270747674629092,0.0034842188470065594,0.0026004500687122345,0.0014456921489909291,0.0017498648958280683,0.003888402832672,0.0024573004338890314,0.002522626193240285,0.0020919013768434525,0.001076898304745555,0.002616872312501073,0.0027347917202860117,0.0014967551687732339,0.0010673444485291839,0.0012163575738668442,0.0017640329897403717,0.002532443031668663,0.0008240072056651115,0.0013655009679496288,0.001704406924545765,0.002545660827308893,0.0009066874044947326,0.005886861588805914,0.001783853629603982,0.0028340367134660482,0.005035501439124346,0.005511521361768246
4,4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,0.0001276375405723229,0.0002599450235720724,0.00022189180890563875,0.0003770763287320733,0.00019275437807664275,0.00014509132597595453,0.0002805462572723627,0.00014274782733991742,0.0001288466592086479,0.0001848464016802609,0.00024172225676011294,0.0001915121974889189,0.0002555533719714731,0.00033873485517688096,0.00025601356173865497,0.00030319273355416954,0.00019072323630098253,0.0002089288318529725,0.00035679774009622633,0.00025309986085630953,0.0004718367999885231,0.00024193740682676435,0.00022171404270920902,0.0001156278231064789,0.0002139620337402448,0.00038407460669986904,0.00023674353724345565,0.00023906579008325934,0.00025545325479470193,0.00021202432981226593,0.0003222478844691068,0.00012487889034673572,0.0002749616396613419,0.0004890318377874792,0.0003374175576027483,0.00017362047219648957,0.00027225379017181695,0.0001910174760269001,0.0002310800482518971,0.00024311867309734225,0.00025805376935750246,0.00013565979315899312
5,5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,0.0023919674567878246,0.007725769653916359,0.0028427205979824066,0.0020247302018105984,0.005669144447892904,0.0054419138468801975,0.001997006591409445,0.0030643288046121597,0.003889996325597167,0.0010202683042734861,0.00493105873465538,0.002707510953769088,0.001559183350764215,0.003343225922435522,0.005951950326561928,0.005894347093999386,0.008193885907530785,0.0047691939398646355,0.007231283932924271,0.0053102909587323666,0.002057526493445039,0.008715051226317883,0.003834504634141922,0.002672357251867652,0.0019021483603864908,0.004607706796377897,0.004238842520862818,0.002372527727857232,0.0026046258863061666,0.001999068306759,0.003897325834259391,0.004290036857128143,0.001417543739080429,0.0024752409663051367,0.0022791873198002577,0.003030223771929741,0.002858850872144103,0.007044954691082239,0.0019429379608482122,0.011736154556274414,0.004446444567292929,0.005558309145271778
6,6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,5.075889475847362e-06,3.870691216434352e-05,3.0429735488723963e-05,2.947276152553968e-05,9.410158236278221e-05,0.00013591910828836262,1.7453905911679612e-06,1.8226890006189933e-06,9.83543650363572e-05,2.837977945091552e-06,0.00011641142191365361,4.6406275941990316e-05,1.359559792035725e-05,4.2291827412554994e-05,5.819516445626505e-05,2.6272125978721306e-05,0.00015229982091113925,0.0002565130707807839,2.7050822609453462e-05,2.246104668301996e-05,2.861328175640665e-05,0.00023719372984487563,3.647846097010188e-05,0.00014391854347195476,1.4724120092068915e-06,1.8233718947158195e-05,0.00018757785437628627,1.9933506337110884e-05,5.981756839901209e-05,5.519769183592871e-05,8.143710147123784e-06,5.967799370409921e-05,3.451995871728286e-05,3.9024936995701864e-05,4.719942808151245e-06,1.9973425878561102e-05,1.7215083062183112e-05,7.055405149003491e-05,0.00023522364790551364,4.3946405639871955e-05,0.00010729304631240666,0.00016341351147275418
7,7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,2.735403541009873e-05,6.602785288123414e-05,8.331056596944109e-05,5.736646198784001e-05,5.2336949011078104e-05,0.000257544539636001,2.5041186745511368e-05,2.1193440261413343e-05,0.00013322822633199394,2.6513851480558515e-05,0.00028630613815039396,0.00012367336603347212,4.926739347865805e-05,0.0001525806583231315,0.0001329480583081022,9.81191114988178e-05,8.930212061386555e-05,0.0005736045422963798,5.527091707335785e-05,7.430207188008353e-05,3.43020619766321e-05,0.00024753843899816275,5.9220215916866437e-05,0.0001241962454514578,2.0543149730656296e-05,2.5217221264028922e-05,0.0002988642081618309,8.048673043958843e-05,6.607022805837914e-05,9.200161730404943e-05,3.216908226022497e-05,0.0003528323723003268,4.838474706048146e-05,3.039339935639873e-05,2.944772131741047e-05,6.933144322829321e-05,2.4564844352426007e-05,0.00018016282410826534,0.00017844671674538404,0.00012887372577097267,7.252432988025248e-05,0.00011320628982502967
8,8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,2.9115126380929723e-06,0.02449272759258747,0.02078631892800331,0.006966621149331331,0.02822883240878582,0.03755722939968109,0.029080167412757874,0.007737820968031883,0.016429144889116287,0.022162243723869324,0.023381385952234268,0.03055376186966896,0.03477239981293678,0.02462843619287014,0.03979708254337311,0.036970946937799454,0.025582635775208473,0.02060779556632042,0.027717694640159607,0.023684879764914513,0.044964179396629333,0.019902100786566734,0.016638675704598427,0.05578485131263733,0.011545932851731777,0.022537171840667725,0.01701183244585991,0.043498169630765915,0.045385945588350296,0.01076375599950552,0.010779044590890408,0.060195792466402054,0.012810283340513706,0.038969866931438446,0.03376584127545357,0.02723049558699131,0.02351042442023754,0.011372837238013744,0.020960267633199692,0.02598392777144909,0.022484226152300835,0.01872493140399456
9,9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,2.517986672501138e-07,3.0784417504037265e-06,3.573788944777334e-06,1.0975726354445214e-06,4.734601134259719e-06,4.748221726913471e-06,1.9604151475505205e-06,2.18818513531005e-06,2.9615473522426328e-06,2.047909447355778e-06,3.7943270854157163e-06,2.692218913580291e-06,4.158021965849912e-06,3.685673164000036e-06,2.0240768208168447e-06,3.7955071547912667e-06,3.023199724339065e-06,5.9634085118887015e-06,6.11565792496549e-06,1.9782435174420243e-06,4.910585630568676e-06,2.4444218524877215e-06,4.277095285942778e-06,2.393240492892801e-06,1.2734265055769356e-06,1.8302381477042218e-06,5.982141829008469e-06,2.208179921581177e-06,5.515643351827748e-06,2.3079674065229483e-06,2.621840167194023e-06,3.7651816455763765e-06,2.760308007054846e-06,2.235117563031963e-06,2.7070072974311188e-06,4.920181709167082e-06,2.7939288429479348e-06,3.1954239148035413e-06,3.654395641206065e-06,1.4022823506820714e-06,4.0330091906071175e-06,3.589986590668559e-06
