,Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_the,ans_prob_obs_edit_subject_be,ans_prob_obs_edit_subject_and,ans_prob_obs_edit_subject_a,ans_prob_obs_edit_subject_of,ans_prob_obs_edit_subject_to,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_i,ans_prob_obs_edit_subject_you,ans_prob_obs_edit_subject_it,ans_prob_obs_edit_subject_have,ans_prob_obs_edit_subject_that,ans_prob_obs_edit_subject_for,ans_prob_obs_edit_subject_do,ans_prob_obs_edit_subject_he,ans_prob_obs_edit_subject_with,ans_prob_obs_edit_subject_on,ans_prob_obs_edit_subject_this,ans_prob_obs_edit_subject_n't,ans_prob_obs_edit_subject_we,ans_prob_obs_edit_subject_not,ans_prob_obs_edit_subject_but,ans_prob_obs_edit_subject_they,ans_prob_obs_edit_subject_say,ans_prob_obs_edit_subject_at,ans_prob_obs_edit_subject_what,ans_prob_obs_edit_subject_his,ans_prob_obs_edit_subject_from,ans_prob_obs_edit_subject_go,ans_prob_obs_edit_subject_or,ans_prob_obs_edit_subject_by,ans_prob_obs_edit_subject_get,ans_prob_obs_edit_subject_she,ans_prob_obs_edit_subject_my,ans_prob_obs_edit_subject_can,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_know,ans_prob_obs_edit_subject_if
0,0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,0.008232928812503815,4.932623414788395e-05,8.0491226981394e-06,0.00010752658999990672,1.0474597729626112e-05,2.7456808311399072e-05,5.183902430871967e-06,9.826328459894285e-05,8.590188372181728e-06,0.00011762524809455499,1.717117083899211e-05,5.5681255616946146e-05,2.456900074321311e-05,1.722291563055478e-05,1.7000091247609816e-05,2.447688893880695e-05,6.90721208229661e-06,3.4969489206559956e-05,1.650130798225291e-05,1.9483302821754478e-05,2.7667145332088694e-05,2.5223025659215637e-05,3.3119144063675776e-05,6.562731869053096e-05,3.074516644119285e-05,2.1578655378107214e-06,4.960218575433828e-05,3.834187737083994e-06,2.660448444657959e-06,6.0986062635493e-06,0.00012432009680196643,1.57099129864946e-05,0.00010008490789914504,8.253776468336582e-05,1.0672840289771557e-05,3.665597205326776e-06,8.155483556038234e-06,1.077677370631136e-05,2.2495435132441344e-06,2.655802200024482e-05
1,1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,0.0008711694972589612,0.00025853849365375936,0.00019042774511035532,0.00018436406389810145,0.00019015550788026303,0.0002762739604804665,8.78892678883858e-05,0.0003221126680728048,0.0002585327310953289,0.00027836576919071376,0.00031121389474719763,0.0003005325561389327,0.00011778786574723199,0.0001670394849497825,0.00022172510216478258,5.257490920484997e-05,0.00022053925204090774,0.00015926381456665695,0.00011507883027661592,0.00016645790310576558,6.536049477290362e-05,0.00022483689826913178,7.854105206206441e-05,0.0001865884114522487,0.0001742157037369907,0.0001570696767885238,0.00026036670897156,9.340274846181273e-05,0.0001293888344662264,0.00013797642895951867,0.00021080223086755723,0.00012439049896784127,0.00021774007473140955,0.0001707444607745856,9.641039650887251e-05,0.00031926610972732306,0.00015471680671907961,9.616724128136411e-05,0.0001742921449476853,0.0002570219512563199
2,2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,8.411989983869717e-05,0.0004912512376904488,0.00039727246621623635,0.00033154149423353374,0.0006271871388889849,0.000816232233773917,0.00023844277893658727,0.0005923685966990888,0.00088085065362975,0.0009386103483848274,0.0010702150175347924,0.0005434792255982757,0.0003508984518703073,0.0003212110896129161,0.0008712331764400005,7.062855729600415e-05,0.0007059682975523174,0.0007645378937013447,0.0004091874579899013,0.00034311774652451277,0.00020692420366685838,0.00033472655923105776,0.00026741556939668953,0.0008278152090497315,0.0003029232320841402,0.0004060028586536646,0.00037334399530664086,0.0002672992995940149,0.00020421254157554358,0.00042857087100856006,0.0002679380413610488,0.00039770291186869144,0.0005645905039273202,0.0009449304779991508,0.00021290457516442984,0.000385494960937649,0.00039991282392293215,0.0005512804491445422,0.0006370178889483213,0.0008132469956763089
3,3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,0.001990450546145439,0.0024354520719498396,0.0022299273405224085,0.002913570497184992,0.0026515217032283545,0.003976371604949236,0.0022571671288460493,0.0031263967975974083,0.0027347917202860117,0.004306944552809,0.0022436410654336214,0.003619435243308544,0.0023845545947551727,0.0018061924492940307,0.0009390800842083991,0.0003569655818864703,0.001882648328319192,0.0016829223604872823,0.002522626193240285,0.0025027552619576454,0.0017554371152073145,0.001986711286008358,0.0017331369454041123,0.0021141429897397757,0.0034371819347143173,0.002348200883716345,0.0018993861740455031,0.0018490268848836422,0.003174045355990529,0.002192755928263068,0.004638745449483395,0.0028714805375784636,0.001368519151583314,0.002171165309846401,0.0021583789493888617,0.002172027714550495,0.002936708275228739,0.0010673444485291839,0.005728085525333881,0.0022980086505413055
4,4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,0.0001276375405723229,0.0002599450235720724,0.0002703606733120978,0.00011299994366709143,0.0002653112751431763,0.0002744756347965449,0.0002621633466333151,0.0003043942269869149,0.00023674353724345565,0.0001977965875994414,0.00025649488088674843,0.00026493336190469563,0.00021683932573068887,0.0004333440156187862,0.0005752547294832766,0.00036714255111292005,0.00020237559510860592,0.000194502979866229,0.00022171404270920902,0.0003843900340143591,0.0002629632654134184,0.0003612673026509583,0.00028788374038413167,0.00021200314222369343,0.00046092248521745205,0.00019837125728372484,0.00026422206428833306,0.0002617200661916286,0.0001145664500654675,0.00027301866794005036,0.00024584142374806106,0.0002147852792404592,0.0002715522132348269,0.00012672343291342258,0.00022945820819586515,0.00033250325941480696,0.0004133397596888244,0.00025545325479470193,0.00028889006352983415,0.00023184798192232847
5,5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,0.0023919674567878246,0.007725769653916359,0.005404411815106869,0.003293650457635522,0.005540706217288971,0.003810656489804387,0.002817906904965639,0.005683422088623047,0.004238842520862818,0.004491262603551149,0.005582218524068594,0.004485043231397867,0.00494544580578804,0.003654191270470619,0.003433456178754568,0.0012773222988471389,0.0028437646105885506,0.0046457224525511265,0.003834504634141922,0.0059362431056797504,0.0004918348276987672,0.0038605602458119392,0.004598258528858423,0.0066732438281178474,0.006128774955868721,0.00791560672223568,0.004611050244420767,0.004031934775412083,0.003232027171179652,0.005493450444191694,0.0081547936424613,0.004530787467956543,0.002585445996373892,0.005096063949167728,0.0035824652295559645,0.006343610119074583,0.005082926247268915,0.0026046258863061666,0.013190980069339275,0.004532948601990938
6,6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,5.075889475847362e-06,3.870691216434352e-05,3.401747744646855e-05,0.0001389154203934595,8.051028999034315e-05,0.00017370612476952374,3.471227319096215e-05,6.277964712353423e-05,0.00018757785437628627,0.00038425539969466627,7.908061525085941e-05,0.0003852667286992073,2.2199794329935685e-05,2.318978113180492e-05,0.0001291189546464011,5.078271101410792e-07,0.00011860613449243829,6.498448783531785e-05,3.647846097010188e-05,1.2497216630436014e-05,0.00018495040421839803,4.600429747370072e-05,6.801842118875356e-06,3.03065844491357e-05,2.0242263417458162e-05,1.9682125639519654e-05,2.6411060389364138e-05,2.5496587113593705e-05,2.0912764739478007e-05,2.610189221741166e-05,5.486649115482578e-06,1.3046458661847282e-05,0.00013846471847500652,5.471636541187763e-05,3.368937541381456e-05,4.9312759074382484e-05,1.7077709344448522e-05,5.981756839901209e-05,6.214906898094341e-05,0.00010852562263607979
7,7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,2.735403541009873e-05,6.602785288123414e-05,5.807072011521086e-05,0.00013238104293122888,9.718308137962595e-05,0.00013058703916613013,3.936898792744614e-05,0.00013627966109197587,0.0002988642081618309,0.0002842235844582319,0.0001620949769858271,0.0002921987615991384,4.9900507292477414e-05,5.3081523219589144e-05,0.00014210455992724746,1.7134774680016562e-05,9.409755875822157e-05,0.0001862309145508334,5.9220215916866437e-05,3.121567715425044e-05,0.00025999321951530874,5.754915400757454e-05,3.580098564270884e-05,7.471704157069325e-05,5.203907858231105e-05,7.034904410829768e-05,7.091376755852252e-05,5.7565739552956074e-05,3.652172745205462e-05,9.271260933019221e-05,4.602073022397235e-05,3.117579035460949e-05,0.0001858821779023856,0.00010091356671182439,7.183598063420504e-05,4.4607957534026355e-05,5.282739584799856e-05,6.607022805837914e-05,0.00013219285756349564,0.00010222577839158475
8,8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,2.9115126380929723e-06,0.02449272759258747,0.02429346926510334,0.028485363349318504,0.024849295616149902,0.033709488809108734,0.030522147193551064,0.02095748670399189,0.01701183244585991,0.026811087504029274,0.0201729666441679,0.014690111391246319,0.03354119509458542,0.023702207952737808,0.02132406458258629,0.04391708970069885,0.031079523265361786,0.018503542989492416,0.016638675704598427,0.02165394276380539,0.02922973781824112,0.031204069033265114,0.034623753279447556,0.042821723967790604,0.0349082313477993,0.04622183367609978,0.018047228455543518,0.03159072622656822,0.04543917253613472,0.03475833311676979,0.05424635857343674,0.03786734864115715,0.01884172484278679,0.025907639414072037,0.04124213382601738,0.02276977337896824,0.005768537055701017,0.045385945588350296,0.041546743363142014,0.03627792373299599
9,9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,2.517986672501138e-07,3.0784417504037265e-06,3.8521529859281145e-06,6.013955953676486e-06,6.908759132784326e-06,3.4694273836066714e-06,6.279361059569055e-06,5.437940671981778e-06,5.982141829008469e-06,3.968005330534652e-06,3.387197921256302e-06,4.428555712365778e-06,3.51034282175533e-06,3.7141151096875547e-06,3.862113317154581e-06,6.82131212670356e-06,4.1659859562059864e-06,3.6941939924872713e-06,4.277095285942778e-06,3.0885614705766784e-06,6.7038517954642884e-06,7.334017027460504e-06,4.2008241507573985e-06,3.868191470246529e-06,3.8123864669614704e-06,1.44699004067661e-06,5.693032107956242e-06,1.990995315281907e-06,1.6458157006127294e-06,3.5302005017001648e-06,2.669739615157596e-06,4.563879429042572e-06,5.176088052394334e-06,2.0792954273929354e-06,3.7680742934753653e-06,2.1646592358592898e-06,1.3344930493985885e-06,5.515643351827748e-06,6.8387485043786e-06,4.466346126719145e-06
