,Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_other,ans_prob_obs_edit_subject_good,ans_prob_obs_edit_subject_new,ans_prob_obs_edit_subject_great,ans_prob_obs_edit_subject_big,ans_prob_obs_edit_subject_high,ans_prob_obs_edit_subject_old,ans_prob_obs_edit_subject_bad,ans_prob_obs_edit_subject_different,ans_prob_obs_edit_subject_american,ans_prob_obs_edit_subject_little,ans_prob_obs_edit_subject_sure,ans_prob_obs_edit_subject_small,ans_prob_obs_edit_subject_right,ans_prob_obs_edit_subject_large,ans_prob_obs_edit_subject_real,ans_prob_obs_edit_subject_best,ans_prob_obs_edit_subject_long,ans_prob_obs_edit_subject_young,ans_prob_obs_edit_subject_important,ans_prob_obs_edit_subject_only,ans_prob_obs_edit_subject_national,ans_prob_obs_edit_subject_black,ans_prob_obs_edit_subject_social,ans_prob_obs_edit_subject_able,ans_prob_obs_edit_subject_political,ans_prob_obs_edit_subject_public,ans_prob_obs_edit_subject_white,ans_prob_obs_edit_subject_better,ans_prob_obs_edit_subject_late,ans_prob_obs_edit_subject_free,ans_prob_obs_edit_subject_sorry,ans_prob_obs_edit_subject_low,ans_prob_obs_edit_subject_human,ans_prob_obs_edit_subject_TRUE,ans_prob_obs_edit_subject_whole,ans_prob_obs_edit_subject_easy,ans_prob_obs_edit_subject_hard,ans_prob_obs_edit_subject_early,ans_prob_obs_edit_subject_possible
0,0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,3.521256076055579e-05,5.102730210637674e-05,9.906867489917204e-06,1.728069400996901e-05,2.2505213564727455e-05,1.5657904441468418e-05,3.6655743315350264e-05,2.953834155050572e-05,9.238142956746742e-05,2.393773138464894e-05,1.942326343851164e-05,6.818781548645347e-05,0.00010376826685387641,1.518580120318802e-05,1.3837051483278628e-05,3.0443326977547258e-05,1.4219715922081377e-05,3.3790147426771e-05,1.7379026758135296e-05,2.6133837309316732e-05,1.8566484868642874e-05,1.048005469783675e-05,0.00015517686551902443,2.031687654380221e-05,5.9742193116107956e-05,1.8620830815052614e-05,2.7221294658374973e-05,2.2074542357586324e-05,3.0389004677999765e-05,5.0779515731846914e-05,6.8753111008845735e-06,1.6055613741627894e-05,4.6518282033503056e-05,2.817803033394739e-05,1.3846015463059302e-05,1.0384701454313472e-05,2.1832083803019486e-05,7.056033791741356e-05,4.545671617961489e-05,1.8801805708790198e-05,1.3242280147096608e-05,2.9197257390478626e-05
1,1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,2.7046782633988187e-05,5.8384077419759706e-05,4.926394012727542e-06,2.1641235434799455e-05,1.0775565897347406e-05,1.5172887287917547e-05,3.551331610651687e-05,9.590503759682178e-05,1.8470664144842885e-05,1.935317959578242e-05,3.3872368021548027e-06,3.12246338580735e-05,2.4695846150279976e-05,5.985340612824075e-05,1.5335161151597276e-05,2.7831121769850142e-05,1.111541405407479e-05,2.031003896263428e-05,3.5517074138624594e-05,2.1960997401038185e-05,1.4424151231651194e-05,7.783903129165992e-06,2.6087023798027076e-05,3.519718302413821e-05,5.137352127349004e-05,1.150695879914565e-05,3.9787046262063086e-05,1.140004133048933e-05,1.3215740182204172e-05,2.8987691621296108e-05,1.554497612232808e-05,1.86111283255741e-05,2.6968802558258176e-05,2.1628795366268605e-05,2.247094380436465e-05,8.783440534898546e-06,4.378968878882006e-05,9.004149615066126e-05,6.262697570491582e-05,2.4756782295298763e-05,1.8862696379073896e-05,1.3053658221906517e-05
2,2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,0.0002526387106627226,0.0007466407842002809,0.00017186222248710692,0.0005044743302278221,0.000653185707051307,0.00029520574025809765,0.0004274116363376379,0.0008124374435283244,0.0007277736440300941,0.0004813759005628526,0.00017595049575902522,0.003212967189028859,0.00022072232968639582,0.0004648315079975873,0.00019770201470237225,0.00030779920052737,0.0001587512670084834,0.0002384260151302442,0.000324027962051332,0.000385367835406214,0.0002607964270282537,9.406350000062957e-05,0.0005284967483021319,0.00048058899119496346,0.0008243523770943284,0.0001889472914626822,0.00034232859616167843,0.0005845265695825219,0.00034871840034611523,0.0009141690097749233,0.00033616647124290466,0.00010759438009699807,0.0004033669247291982,0.00045214095734991133,0.0005597354611381888,0.0003359376860316843,0.000649498135317117,0.0006325977155938745,0.0005762198707088828,0.0004094873438589275,0.0002906426670961082,0.00016277791291940957
3,3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,2.6233768949168734e-05,3.670895239338279e-05,5.070595761935692e-06,2.2638672817265615e-05,3.330423714942299e-05,1.092205275199376e-05,7.405655924230814e-05,4.0008231735555455e-05,0.0001402885391144082,0.00010915569873759523,4.160105163464323e-06,0.0003295325150247663,1.690320459601935e-05,2.08360688702669e-05,3.7842346500838175e-06,8.818942660582252e-06,9.1374831754365e-06,2.2508891561301425e-05,2.6650348445400596e-05,2.1201827621553093e-05,1.1605040526774246e-05,1.973298594748485e-06,4.137359428568743e-05,2.9559356335084885e-05,6.402025610441342e-05,2.055189906968735e-05,8.00333873485215e-06,6.313763879006729e-05,9.490606316830963e-06,8.635439007775858e-05,1.5849946066737175e-05,1.0799947631312534e-05,1.9815000996459275e-05,3.979703978984617e-05,1.5325495041906834e-05,7.036014267214341e-06,9.952459367923439e-05,0.00016221053374465555,5.2115774451522157e-05,3.9518665289506316e-05,3.901189302268904e-06,9.660174328018911e-06
4,4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,0.00011068272578995675,0.00016768474597483873,6.960435712244362e-05,0.0001407715171808377,0.00011690217070281506,0.00012925168266519904,0.00014342405484057963,0.00014096232189331204,0.0002184745535487309,0.00015670231368858367,0.0001259597484022379,0.0005226017092354596,0.0004034969606436789,3.4319811675231904e-05,5.853613401995972e-05,0.00015805229486431926,4.175541835138574e-05,8.855608029989526e-05,4.707808329840191e-05,9.691000741440803e-05,4.231660204823129e-05,4.502744195633568e-05,0.0007527838461101055,8.201366290450096e-05,0.00027651534765027463,9.95741065707989e-05,0.00012634426821023226,6.391273200279102e-05,0.00010371342796133831,0.0001552014146000147,6.969092646613717e-05,0.00011580737918848172,0.00027047668118029833,0.00015738405636511743,0.00012888637138530612,7.497105252696201e-05,8.768774569034576e-05,0.00016696371312718838,0.00016261529526673257,9.129150566877797e-05,0.00012932071695104241,0.00012180293560959399
5,5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,0.0002656557480804622,0.0007347168284468353,9.359281830256805e-05,0.0006597567698918283,0.0011127504985779524,0.0003641580115072429,0.0005228250520303845,0.0012286194832995534,0.000683249847497791,0.0005441313260234892,0.00010061947978101671,0.006122696213424206,0.0003286505816504359,0.0006500956951640546,0.00015118755982257426,0.0003365290176589042,0.00016173577751033008,0.0002729655825532973,0.00031121590291149914,0.0003247508720960468,0.00028887600637972355,5.4673630074830726e-05,0.0005577891715802252,0.00029315234860405326,0.0010828975355252624,0.00011481451656436548,0.00018939755682367831,0.0003773804346565157,0.0002984307939186692,0.0016315948450937867,0.0004137724463362247,0.00010036391176981851,0.00040404501487500966,0.0005558363627642393,0.0003878565621562302,0.00021460231801029295,0.0005337741458788514,0.0011965717421844602,0.0005699380417354405,0.00047786891809664667,0.0001299680006923154,0.00012757373042404652
6,6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,3.925332293874817e-06,1.589843122928869e-05,1.4024444681126624e-06,5.977131422696402e-06,2.6770269414555514e-06,5.007865183870308e-06,1.146386784967035e-05,9.585177031112835e-05,1.9427765437285416e-05,9.80350796453422e-06,7.466668989764003e-07,6.635226327489363e-06,2.1918315269431332e-06,4.904732122668065e-06,7.979038855410181e-06,1.6909269788811798e-06,5.165615220903419e-06,2.2367346446117153e-06,9.033246897161007e-06,2.6890529625234194e-06,5.2138893806841224e-06,1.5943110156513285e-06,7.522282885474851e-06,8.785261343291495e-06,5.0118969738832675e-06,2.213875177403679e-06,1.7421251641280833e-06,6.013529855408706e-06,2.367960405535996e-06,7.856724550947547e-06,2.2791923584009055e-06,4.276236722944304e-06,1.6799065178929595e-06,8.175753691830323e-07,2.4532359020668082e-05,1.5996629372239113e-06,3.9988313460526115e-07,2.760444112936966e-05,1.0960692634398583e-05,9.749662240210455e-06,1.2141777006036136e-06,1.660563975747209e-05
7,7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,2.678298915270716e-05,2.206482895417139e-05,7.714565072092228e-06,1.79426515387604e-05,1.393669026583666e-05,1.3347462299861945e-05,2.3445509214070626e-05,1.9065997548750602e-05,2.2776723199058324e-05,1.652804894547444e-05,3.0487431104120333e-06,5.7664561609271914e-05,1.3802828107145615e-05,1.0928047231573146e-05,7.581895715702558e-06,2.142494122381322e-05,9.351251719635911e-06,7.428268418152584e-06,1.4553682376572397e-05,1.7480291717220098e-05,9.931090062309522e-06,3.939961970900185e-06,4.05988103011623e-05,6.648673661402427e-06,2.19573630602099e-05,8.232616892200895e-06,1.4375653336173855e-05,4.091849405085668e-06,4.495518169278512e-06,1.8129609088646248e-05,7.253107014548732e-06,2.3289068849408068e-05,1.3025887710682582e-05,8.291348422062583e-06,1.2550783139886335e-05,6.138522621768061e-06,0.00011147898476338014,2.9426291803247295e-05,2.6867734050028957e-05,9.18326259125024e-06,1.0527362064749468e-05,8.599266038800124e-06
8,8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,5.106207026983611e-06,0.0006342676351778209,0.00029105920111760497,9.206645336234942e-05,0.00014421275409404188,0.0001259521668544039,0.00032152669155038893,0.0002560570137575269,0.0002457319642417133,0.0002702757774386555,0.0009207957191392779,0.00041569332825019956,0.0013885943917557597,4.888664261670783e-05,0.00015906758198980242,0.0003094590501859784,2.924421823990997e-05,7.995231862878427e-05,0.0001225085143232718,9.376119851367548e-05,5.02092188980896e-05,6.288434815360233e-05,0.007045751437544823,0.00022539409110322595,0.00047207812895067036,0.0001464759261580184,0.0006392899085767567,0.00018210489361081272,0.00029310642275959253,0.00013069497072137892,8.663805601827335e-06,0.00017483859846834093,0.0010630205506458879,7.217659003799781e-05,0.0005560613935813308,1.5323803381761536e-05,0.0006858148844912648,0.002136977855116129,0.002719922224059701,9.277307981392369e-05,0.0002279462933074683,0.0011563720181584358
9,9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,9.485859777669248e-07,2.058351356026833e-06,1.41015732424421e-06,8.80227730704064e-07,6.099265874581761e-07,1.555000039843435e-06,1.8631516240930068e-06,1.980147544600186e-06,7.501869276893558e-07,1.679245997365797e-06,5.611768756352831e-07,5.2318087000458036e-06,1.3699581131731975e-06,1.6780356872914126e-06,1.91280946637562e-06,7.660452752134006e-07,3.5135733469360275e-06,1.4938894992155838e-06,4.314395596338727e-07,1.1962057442360674e-06,4.5676588911192084e-07,1.5486568827327574e-06,1.9955914467573166e-06,1.6565670648560626e-06,3.3198996334249387e-06,1.309277308791934e-06,1.361762542728684e-06,1.5690479813201819e-06,2.2872084173286567e-06,2.4637424758111592e-06,2.9902309961471474e-07,2.5680649287096458e-06,6.244331984817109e-07,1.2009138572466327e-06,2.445250629534712e-06,8.895050882529176e-07,1.0157731367144152e-06,8.551363862352446e-06,4.257201453583548e-06,1.316367615800118e-06,2.3794336811988614e-06,1.1778705584220006e-06
