,Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_and,ans_prob_obs_edit_subject_that,ans_prob_obs_edit_subject_but,ans_prob_obs_edit_subject_or,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_if,ans_prob_obs_edit_subject_when,ans_prob_obs_edit_subject_than,ans_prob_obs_edit_subject_because,ans_prob_obs_edit_subject_while,ans_prob_obs_edit_subject_so,ans_prob_obs_edit_subject_where,ans_prob_obs_edit_subject_since,ans_prob_obs_edit_subject_though,ans_prob_obs_edit_subject_after,ans_prob_obs_edit_subject_until,ans_prob_obs_edit_subject_whether,ans_prob_obs_edit_subject_before,ans_prob_obs_edit_subject_although,ans_prob_obs_edit_subject_even,ans_prob_obs_edit_subject_like,ans_prob_obs_edit_subject_unless,ans_prob_obs_edit_subject_nor,ans_prob_obs_edit_subject_once,ans_prob_obs_edit_subject_long,ans_prob_obs_edit_subject_except,ans_prob_obs_edit_subject_now,ans_prob_obs_edit_subject_far,ans_prob_obs_edit_subject_for,ans_prob_obs_edit_subject_soon,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_rather,ans_prob_obs_edit_subject_and/or,ans_prob_obs_edit_subject_whereas,ans_prob_obs_edit_subject_not,ans_prob_obs_edit_subject_till,ans_prob_obs_edit_subject_case,ans_prob_obs_edit_subject_provided,ans_prob_obs_edit_subject_considering,ans_prob_obs_edit_subject_given
0,0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,3.521256076055579e-05,5.102730210637674e-05,3.310340252937749e-05,3.861559525830671e-05,8.374101889785379e-05,1.749800139805302e-05,2.6967187295667827e-05,5.690051693818532e-05,3.384001684025861e-05,7.648793143744115e-06,8.143643935909495e-05,3.571619527065195e-05,3.0572788091376424e-05,3.8014619349269196e-05,2.6694091502577066e-05,6.565185321960598e-05,4.2184838093817234e-05,4.331179297878407e-05,1.2036638509016484e-05,5.178583160159178e-05,9.062510798685253e-05,3.9656915760133415e-05,4.450412961887196e-05,1.0140838639927097e-05,5.631443491438404e-05,2.310399395355489e-05,2.6133837309316732e-05,5.015307760913856e-05,1.6594314729445614e-05,1.7340218619210646e-05,2.380175828875508e-05,4.8226534090645146e-06,5.286304804030806e-05,2.184809090977069e-05,1.1147195436933544e-05,2.7957483325735666e-05,1.992067882383708e-05,2.4231398128904402e-05,3.8477090129163116e-05,3.604084486141801e-05,1.451000298402505e-05,4.4090822484577075e-05
1,1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,2.7046782633988187e-05,5.8384077419759706e-05,2.7200945623917505e-05,2.762296026048716e-05,2.522271461202763e-05,2.117524854838848e-05,1.0991177077812608e-05,4.654984877561219e-05,2.6172376237809658e-05,2.67492032435257e-05,6.600518827326596e-05,4.2151536035817116e-05,7.5778079917654395e-06,1.281932600250002e-05,2.578811108833179e-05,6.764697900507599e-05,6.020091677783057e-05,2.473075619491283e-05,2.88454357360024e-05,4.9026213673641905e-05,2.6612287911120802e-05,2.403978032816667e-05,2.032219163083937e-05,9.30047008296242e-06,5.959012923995033e-05,2.016612961597275e-05,2.1960997401038185e-05,2.4397839297307655e-05,1.6813350157462992e-05,2.0723942725453526e-05,2.0882809621980414e-05,1.7670754459686577e-05,3.2336967706214637e-05,2.1147441657376476e-05,6.502069481939543e-06,4.414536306285299e-06,1.1026599167962559e-05,1.7450433006160893e-05,7.711867510806769e-05,3.3140586310764775e-05,1.895005516416859e-05,9.244641842087731e-05
2,2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,0.0002526387106627226,0.0007466407842002809,0.0004310859658289701,0.00040818628622218966,0.0005070837796665728,0.000550262862816453,0.0003458719002082944,0.0004543027898762375,0.00031206017592921853,0.00020958764071110636,0.0007908012485131621,0.0007041441276669502,0.00023947776935528964,0.0004854088183492422,0.00041214487282559276,0.0005462458939291537,0.0005522497813217342,0.0003787426685448736,0.00021698401542380452,0.00044380431063473225,0.00035955142811872065,0.0003133309946861118,0.0003155123849865049,0.0003200385544914752,0.0005424910923466086,0.00024229894916061312,0.000385367835406214,0.0007955815526656806,0.0002765828394331038,0.0002102195139741525,0.0004258119151927531,0.00022921402705833316,0.0005707386881113052,0.0006125994841568172,0.00015829780022613704,0.00039774569449946284,0.00022141555382404476,0.00015564342902507633,0.001077028107829392,0.0005336891044862568,0.00019141531083732843,0.0009406302124261856
3,3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,2.6233768949168734e-05,3.670895239338279e-05,3.3383086702087894e-05,3.39660000463482e-05,5.105974560137838e-05,9.962996045942418e-06,1.559753218316473e-05,4.832440390600823e-05,1.6208781744353473e-05,6.844900326541392e-06,7.207725866464898e-05,1.4512114830722567e-05,1.470213828724809e-05,3.998428655904718e-05,1.9798550056293607e-05,8.566728865844198e-06,2.1399780962383375e-05,9.309034794569016e-06,2.554760612838436e-06,1.613556560187135e-05,2.102087455568835e-05,2.4698434572201222e-05,1.522230013506487e-05,6.280193701968528e-06,1.4608229321311228e-05,2.62233370449394e-05,2.1201827621553093e-05,5.668621088261716e-05,4.520046786637977e-05,2.345392385905143e-05,2.3957154553500004e-05,2.6036227609438356e-06,3.9642094634473324e-05,1.0410491995571647e-05,1.7057232980732806e-05,3.0023005820112303e-05,9.645355021348223e-06,1.3504267371899914e-05,1.2366879673209041e-05,2.4186452719732188e-05,4.682529834099114e-06,3.6335422919364646e-05
4,4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,0.00011068272578995675,0.00016768474597483873,0.00016847209190018475,0.00014624862524215132,0.00019890593830496073,7.064303645165637e-05,0.00010282714356435463,0.00018526602070778608,0.00016872346168383956,2.9685239496757276e-05,0.00014309139805845916,0.00010111146548297256,0.00011012324102921411,9.334933565696701e-05,0.0001487585686845705,0.0001863305806182325,0.00016951227735262364,0.00022080540657043457,3.477284190012142e-05,0.00021366214787121862,0.00025900514447130263,0.00013662116543855518,9.834939555730671e-05,9.688641148386523e-05,0.0002206057106377557,0.00019239237008150667,9.691000741440803e-05,0.0002413539041299373,6.958605081308633e-05,0.00015543436165899038,0.00017559030675329268,4.565480412566103e-05,0.000263805064605549,6.797210517106578e-05,0.00011329221160849556,0.00011364963575033471,8.628464274806902e-05,8.149401401169598e-05,0.00011202725727343932,0.0001272502267966047,5.5541844631079584e-05,7.862014172133058e-05
5,5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,0.0002656557480804622,0.0007347168284468353,0.0004383177147246897,0.0004388761008158326,0.000499407877214253,0.00026385483215563,0.00033758149947971106,0.00040677335346117616,0.00021920692233834416,0.0002690852852538228,0.0005070212646387517,0.000371259986422956,0.0002288880496053025,0.00038667619810439646,0.0003694863698910922,0.0004323245375417173,0.0004323601315263659,0.00024133609258569777,0.00012518027506303042,0.00037309914478100836,0.0004119956574868411,0.0002552792429924011,0.00025396753335371614,0.00016089880955405533,0.0004387794469948858,0.00032528667361475527,0.0003247508720960468,0.0007032238063402474,0.00037460762541741133,0.00028578564524650574,0.00044075382174924016,0.00030246993992477655,0.0006656978512182832,0.0005443341215141118,0.0001126837742049247,0.0003502518520690501,0.00016773276729509234,0.00018483745225239545,0.0006783471326343715,0.0003562596393749118,0.0001431687269359827,0.0007973380270414054
6,6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,3.925332293874817e-06,1.589843122928869e-05,3.1451694667339325e-05,1.2327216609264724e-05,1.9368941138964146e-05,6.583164577023126e-06,1.7213165847351775e-05,1.7363352526444942e-05,5.500863608176587e-06,1.0549495527811814e-05,2.4938002752605826e-05,1.7612237570574507e-05,3.345814548083581e-06,9.62570629781112e-06,2.7096599296783097e-05,1.8669657947611995e-05,1.557016912556719e-05,6.94753566676809e-07,3.6113419810135383e-06,1.3614549970952794e-05,6.091657269280404e-06,3.9651349652558565e-06,3.336922236485407e-05,1.9575584246922517e-06,4.371223894850118e-06,7.972944331413601e-07,2.6890529625234194e-06,3.651583938335534e-06,1.8601172087073792e-06,7.954713510116562e-06,1.0990011105604935e-05,5.5200439419422764e-06,2.89558302029036e-05,1.1576619726838544e-05,9.043481441040058e-06,6.794860837544547e-06,5.214169959799619e-06,1.8860941963794176e-06,1.3148286598152481e-05,1.3651181234308751e-06,4.6420896069321316e-06,4.120183439226821e-05
7,7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,2.678298915270716e-05,2.206482895417139e-05,3.311720138299279e-05,1.605872603249736e-05,2.533760380174499e-05,1.0681761523301248e-05,1.1568986337806564e-05,2.9350461772992276e-05,1.910537321236916e-05,2.742661308730021e-06,6.395683158189058e-05,2.4919849238358438e-05,7.932327207527123e-06,3.205387110938318e-05,6.325257709249854e-05,4.069683200214058e-05,3.285796265117824e-05,2.5042760171345435e-05,5.372749001253396e-06,2.818430402840022e-05,1.1205000191694126e-05,1.1780581189668737e-05,1.1418950634833891e-05,8.406886081502307e-06,1.0736238436948042e-05,1.2616573258128483e-05,1.7480291717220098e-05,3.830092464340851e-05,1.2719911865133327e-05,2.0646328266593628e-05,1.6038455214584246e-05,1.4050669960852247e-05,3.8139074604259804e-05,8.232223080995027e-06,2.8253467462491244e-05,2.6031024390249513e-05,1.0317636224499438e-05,2.6475270715309307e-05,2.1320298401406035e-05,1.4732714589626994e-05,3.6791743696085177e-06,1.9778484784183092e-05
8,8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,5.106207026983611e-06,0.0006342676351778209,0.0005588348722085357,0.00018671274301595986,0.0007064857636578381,0.000616071280092001,0.000631080474704504,0.0021453816443681717,0.0005968448822386563,2.2213856937014498e-05,0.0019127762643620372,0.0017892861505970359,0.00010037254833150655,0.0010173484915867448,0.0007422376656904817,0.0035172351635992527,0.0007599970558658242,0.00010392936383141205,0.0005837211501784623,0.0005426189163699746,0.001691528595983982,0.00018469557107891887,0.0009501019958406687,0.0008129077032208443,0.0003526338841766119,2.9651439035660587e-05,9.376119851367548e-05,0.0006060623563826084,5.099528789287433e-05,4.9931542889680713e-05,0.00030633079586550593,6.330906671792036e-06,0.0007263562292791903,0.001658712630160153,0.0005413976032286882,0.0010857373708859086,0.0006622365908697248,0.00011606128100538626,0.0027114569675177336,0.0019850474782288074,0.00024717836640775204,0.0029715977143496275
9,9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,9.485859777669248e-07,2.058351356026833e-06,2.4603573365311604e-06,1.2843978538512602e-06,1.6656969137329725e-06,1.408092998644861e-06,3.970807483710814e-06,2.36022151511861e-06,1.5069148275870248e-06,3.662232984424918e-06,3.260892526668613e-06,3.1085169212019537e-06,1.0995132697644294e-06,1.1752883892768295e-06,6.482927801698679e-06,4.1965304262703285e-06,6.58443877910031e-06,2.4289408884214936e-06,5.64538311209617e-07,3.197064415871864e-06,2.9508564693969674e-06,2.6884138151217485e-06,2.0483073512878036e-06,6.60258820062154e-07,7.768711611788603e-07,1.5428072401846293e-06,1.1962057442360674e-06,2.1030930383858504e-06,1.1230290510866325e-06,1.7077172742574476e-06,1.6167967942237738e-06,1.0142496194021078e-06,5.129330475028837e-06,1.6095403907456785e-06,3.843867943942314e-07,2.5319570795545587e-06,7.161146413636743e-07,1.2056511877744924e-06,1.4554721019521821e-06,1.2006059932900826e-06,1.2749445659210323e-06,4.9389441301173065e-06
