,Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_be,ans_prob_obs_edit_subject_have,ans_prob_obs_edit_subject_do,ans_prob_obs_edit_subject_say,ans_prob_obs_edit_subject_go,ans_prob_obs_edit_subject_get,ans_prob_obs_edit_subject_can,ans_prob_obs_edit_subject_know,ans_prob_obs_edit_subject_will,ans_prob_obs_edit_subject_would,ans_prob_obs_edit_subject_make,ans_prob_obs_edit_subject_think,ans_prob_obs_edit_subject_see,ans_prob_obs_edit_subject_come,ans_prob_obs_edit_subject_take,ans_prob_obs_edit_subject_want,ans_prob_obs_edit_subject_could,ans_prob_obs_edit_subject_look,ans_prob_obs_edit_subject_use,ans_prob_obs_edit_subject_tell,ans_prob_obs_edit_subject_find,ans_prob_obs_edit_subject_give,ans_prob_obs_edit_subject_need,ans_prob_obs_edit_subject_should,ans_prob_obs_edit_subject_work,ans_prob_obs_edit_subject_try,ans_prob_obs_edit_subject_let,ans_prob_obs_edit_subject_call,ans_prob_obs_edit_subject_may,ans_prob_obs_edit_subject_mean,ans_prob_obs_edit_subject_feel,ans_prob_obs_edit_subject_ask,ans_prob_obs_edit_subject_talk,ans_prob_obs_edit_subject_keep,ans_prob_obs_edit_subject_leave,ans_prob_obs_edit_subject_put,ans_prob_obs_edit_subject_like,ans_prob_obs_edit_subject_help,ans_prob_obs_edit_subject_start,ans_prob_obs_edit_subject_become
0,0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,3.521256076055579e-05,5.102730210637674e-05,3.78344593627844e-05,3.857546835206449e-05,7.541946251876652e-05,4.77596368000377e-05,7.959824870340526e-05,8.726801752345636e-05,6.634073361055925e-05,4.3961616029264405e-05,1.1369609637768008e-05,2.6433690436533652e-05,5.066820449428633e-05,0.00011487559095257893,2.755697823886294e-05,2.1852152713108808e-05,4.310381336836144e-05,2.1976346033625305e-05,8.494535723002627e-05,3.743864726857282e-05,7.91034908615984e-05,2.9339791581151076e-05,4.0206487028626725e-05,1.6646828953525983e-05,4.211425766698085e-05,4.5645629143109545e-05,6.407680484699085e-05,9.089869126910344e-05,2.6651754524209537e-05,6.623704393859953e-05,1.9234066712670028e-05,3.7321333365980536e-05,3.6304525565356016e-05,1.0578113688097801e-05,0.00015367494779638946,3.4166223485954106e-05,2.616688288981095e-05,2.9749624445685185e-05,4.450412961887196e-05,1.4406141417566687e-05,0.00010282863513566554,7.835538781364448e-06
1,1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,2.7046782633988187e-05,5.8384077419759706e-05,3.0736642656847835e-05,6.362660496961325e-05,5.33597449248191e-05,3.386167372809723e-05,6.537689478136599e-05,0.00011067292507505044,4.661691127694212e-05,0.0001169456954812631,4.3741456465795636e-05,4.662121500587091e-05,4.056487523484975e-05,5.3243489674059674e-05,2.5258194000343792e-05,7.785812340443954e-05,3.326686055515893e-05,0.00010650174954207614,1.9740484276553616e-05,4.3181680666748434e-05,8.864581468515098e-05,5.8397825341671705e-05,7.301970617845654e-05,3.540728721418418e-05,4.146240098634735e-05,2.52026420639595e-05,6.164059595903382e-05,0.0002799666835926473,2.791406586766243e-05,5.547151158680208e-05,1.0488127372809686e-05,1.1045368410123046e-05,6.33462259429507e-05,1.878640250652097e-05,4.714007809525356e-05,4.4031265133526176e-05,8.80078732734546e-06,4.3803240259876475e-05,2.032219163083937e-05,1.589770363352727e-05,7.128030847525224e-05,3.0435655844485154e-06
2,2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,0.0002526387106627226,0.0007466407842002809,0.0002527078031562269,0.000711279280949384,0.00043921172618865967,0.00039335174369625747,0.0010085725225508213,0.0012107049115002155,0.00039659577305428684,0.0008985666208900511,0.0005216678837314248,0.0004248623445164412,0.0006221730727702379,0.0010959397768601775,0.0005833421018905938,0.0015879330458119512,0.0005141227738931775,0.001860211486928165,0.000284312991425395,0.00042551610385999084,0.0005868743755854666,0.0006755884387530386,0.0006709155277349055,0.00033863933640532196,0.0006979637546464801,0.000686042127199471,0.0004013611760456115,0.0016879680333659053,0.00019373930990695953,0.0005833488539792597,8.641737804282457e-05,0.0004820437461603433,0.00046723478590138257,0.00033244621590711176,0.0005547351902350783,0.00025264659780077636,0.0001515706244390458,0.0003106751828454435,0.0003155123849865049,0.0001759838341968134,0.001176732941530645,0.00016321646398864686
3,3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,2.6233768949168734e-05,3.670895239338279e-05,1.606660407560412e-05,4.610554242390208e-05,4.034979428979568e-05,1.7540751287015155e-05,4.378752419142984e-05,0.00014864637341815978,5.2277457143645734e-05,8.285499461635482e-06,7.465318049071357e-06,1.2662077097047586e-05,2.4971050152089447e-05,4.876758612226695e-05,1.1426509445300326e-05,4.087642446393147e-05,2.730086816882249e-05,6.194573506945744e-05,1.9136516129947267e-05,2.7369631425244734e-05,6.254135223571211e-05,1.2052089005010203e-05,6.560173642355949e-05,1.6767346096457914e-05,2.1705252947867848e-05,2.0496878278208897e-05,1.756862002366688e-05,0.00014637054118793458,2.2996715415501967e-05,5.385179611039348e-05,3.991468929598341e-06,1.3118287824909203e-05,6.898913397890283e-06,9.316529940406326e-06,1.347571196674835e-05,3.339424074511044e-05,1.4305035620054696e-05,4.585457281791605e-05,1.522230013506487e-05,1.2729415175272152e-05,5.820153091917746e-05,2.9393654585874174e-06
4,4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,0.00011068272578995675,0.00016768474597483873,8.292436541523784e-05,0.00033995119156315923,0.0002251212135888636,0.00011425628326833248,7.083846867317334e-05,0.0002309325209353119,0.0004501388466451317,7.364054181380197e-05,0.00016542912635486573,0.00011067996092606336,0.00018970669771078974,0.0001589212188264355,9.683286043582484e-05,8.474713831674308e-05,6.457639392465353e-05,9.669693827163428e-05,0.000290243566269055,0.0001288016210310161,0.00019522025831975043,0.00010548219870543107,9.347560262540355e-05,0.00015105037891771644,0.0001429528638254851,0.00013424204371403903,0.00013420476170722395,8.202417666325346e-05,5.528950350708328e-05,0.0003182721557095647,0.00020598874834831804,0.00011022602848242968,0.00010117988858837634,3.5860346542904153e-05,0.00025919321342371404,0.0001862926292233169,0.00012740599049720913,0.0001401474728481844,9.834939555730671e-05,6.156058952910826e-05,0.00015981165051925927,2.1947822460788302e-05
5,5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,0.0002656557480804622,0.0007347168284468353,0.00034452660474926233,0.001002569799311459,0.0004223413998261094,0.0003828807093668729,0.0007527658599428833,0.0011963988654315472,0.0005476817605085671,0.0009389066253788769,0.0006545506766997278,0.0007417055312544107,0.0005440867389552295,0.0007096296758390963,0.0003930118109565228,0.001293715788051486,0.000649237830657512,0.0024728141725063324,0.000364316045306623,0.00043343185097910464,0.0007656647358089685,0.0007890224223956466,0.0008989263442344964,0.00031031924299895763,0.000546691648196429,0.0004519950016401708,0.00036829037708230317,0.00221150740981102,0.00023387721739709377,0.0007177124498412013,9.370261250296608e-05,0.0004179547249805182,0.0004276451072655618,0.00020855867478530854,0.00032296733115799725,0.00032314175041392446,0.00013567818677984178,0.00033529463689774275,0.00025396753335371614,0.0001487948466092348,0.0009172127465717494,0.0001292873203055933
6,6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,3.925332293874817e-06,1.589843122928869e-05,2.093330067509669e-06,1.578507544763852e-05,2.1988334992784075e-05,6.815506367274793e-06,6.020714863552712e-06,2.2477390302810818e-05,2.1302389541233424e-06,3.269329681643285e-06,2.1969701720081503e-06,4.617828381014988e-06,3.929310423700372e-06,3.75307172362227e-06,1.799270080482529e-06,5.320510172168724e-05,9.027629857882857e-06,7.945243123685941e-05,1.7705889376884443e-06,5.8987543525290675e-06,9.086008503800258e-06,2.9420582450256916e-06,5.271312602417311e-06,1.740430093377654e-06,5.971576683805324e-06,8.15388102637371e-06,4.3174510210519657e-05,5.9235502703813836e-05,1.0201868462900165e-05,5.8036002883454785e-06,3.0418577807722613e-06,7.67736401030561e-06,1.3019540574532584e-06,5.748473085986916e-06,2.830522589647444e-06,9.596863492333796e-06,2.426753837880824e-07,1.4078755157242995e-05,3.336922236485407e-05,2.7767426217906177e-05,8.8456945377402e-06,1.2496869317146775e-07
7,7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,2.678298915270716e-05,2.206482895417139e-05,1.991300450754352e-05,3.4427237551426515e-05,6.268146535148844e-05,1.1729023754014634e-05,2.7468960979604162e-05,6.407818000297993e-05,9.624088306736667e-06,1.8525430277804844e-05,1.3155372471373994e-05,9.488197065365966e-06,1.6267134924419224e-05,3.6550929507939145e-05,1.1787477887992281e-05,4.823304698220454e-05,1.8596694644656964e-05,5.121873618918471e-05,5.376597982831299e-06,3.290071981609799e-05,4.833461935049854e-05,1.9576818885980174e-05,3.12394586217124e-05,1.3235804544819985e-05,3.341198680573143e-05,1.4491748515865766e-05,1.6235777366091497e-05,0.00010202441626461223,1.197232268168591e-05,1.6012927517294884e-05,7.295784598682076e-06,1.6490592315676622e-05,1.3591710740001872e-05,6.578039574378636e-06,1.9905763110728003e-05,2.749169107119087e-05,6.309811396931764e-06,1.808390334190335e-05,1.1418950634833891e-05,1.270915618079016e-05,5.664979471475817e-05,4.068680027558003e-06
8,8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,5.106207026983611e-06,0.0006342676351778209,0.000360041914973408,0.0001585577556397766,0.001695564016699791,0.0012530562235042453,0.0008368401904590428,0.0007560913800261915,0.0011832857271656394,0.0003087894874624908,0.000362889317329973,0.00037611459265463054,0.0019050869159400463,0.0026258721482008696,0.0007308844942599535,0.0010744415922090411,0.0004908952978439629,0.0004139688389841467,0.0003048779326491058,0.0025588064454495907,0.0011832516174763441,5.635715933749452e-05,0.0013934614835307002,0.0010634841164574027,0.007864785380661488,0.0010440755868330598,0.0007301652221940458,0.0022768243215978146,0.0003028197679668665,0.0014271254185587168,0.00046381831634789705,0.00090008758706972,0.0009065412450581789,0.00013651535846292973,0.0030833659693598747,0.0007030355627648532,0.00011081020784331486,0.00026681250892579556,0.0009501019958406687,0.00016260978009086102,0.0025157127529382706,7.930623542051762e-05
9,9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,9.485859777669248e-07,2.058351356026833e-06,1.599894176251837e-06,2.3840111680328846e-06,1.790475607776898e-06,2.4052417302300455e-06,3.7889176383032463e-06,2.849509428415331e-06,3.189629978805897e-06,1.4654103779321304e-06,1.657390612308518e-06,2.175639338020119e-06,1.903223960653122e-06,4.1740804590517655e-06,1.8301708450962906e-06,3.858874606521567e-06,9.419247248843021e-07,1.8566012158771628e-06,2.436519025650341e-06,2.5072724838537397e-06,5.075294666312402e-06,2.2680846996081527e-06,2.1915357137913816e-06,1.0174599083256908e-06,1.6169424270628951e-06,1.7107637404478737e-06,2.3504517230321653e-06,2.467707872710889e-06,1.145388523582369e-06,1.7543197827762924e-06,1.1606043699430302e-06,2.0274371763662202e-06,1.0614554639687412e-06,1.235413378708472e-06,2.166108970413916e-06,2.8243377983017126e-06,9.060690331352816e-07,1.3939545624452876e-06,2.0483073512878036e-06,7.455505510733929e-07,2.566910325185745e-06,4.919208436149347e-07
