,Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_so,ans_prob_obs_edit_subject_just,ans_prob_obs_edit_subject_up,ans_prob_obs_edit_subject_out,ans_prob_obs_edit_subject_how,ans_prob_obs_edit_subject_now,ans_prob_obs_edit_subject_here,ans_prob_obs_edit_subject_then,ans_prob_obs_edit_subject_more,ans_prob_obs_edit_subject_well,ans_prob_obs_edit_subject_also,ans_prob_obs_edit_subject_very,ans_prob_obs_edit_subject_back,ans_prob_obs_edit_subject_there,ans_prob_obs_edit_subject_even,ans_prob_obs_edit_subject_only,ans_prob_obs_edit_subject_really,ans_prob_obs_edit_subject_why,ans_prob_obs_edit_subject_right,ans_prob_obs_edit_subject_down,ans_prob_obs_edit_subject_on,ans_prob_obs_edit_subject_too,ans_prob_obs_edit_subject_still,ans_prob_obs_edit_subject_never,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_when,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_where,ans_prob_obs_edit_subject_all,ans_prob_obs_edit_subject_most,ans_prob_obs_edit_subject_over,ans_prob_obs_edit_subject_again,ans_prob_obs_edit_subject_always,ans_prob_obs_edit_subject_off,ans_prob_obs_edit_subject_about,ans_prob_obs_edit_subject_today,ans_prob_obs_edit_subject_ever,ans_prob_obs_edit_subject_maybe,ans_prob_obs_edit_subject_far,ans_prob_obs_edit_subject_away
0,0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,3.521256076055579e-05,5.102730210637674e-05,3.0572788091376424e-05,3.957792432629503e-05,2.291397686349228e-05,2.1537563952733763e-05,4.053808152093552e-05,1.6594314729445614e-05,5.848663204233162e-05,1.4390857359103393e-05,1.7716110960463993e-05,2.703982318053022e-05,6.875020335428417e-05,3.854012174997479e-05,2.6228681235807016e-05,6.664086686214432e-05,3.9656915760133415e-05,0.00015517686551902443,7.818784797564149e-05,1.902248550322838e-05,3.0443326977547258e-05,2.7039712222176604e-05,4.356092540547252e-05,2.9823331715306267e-05,1.7245223716599867e-05,6.22432489763014e-05,5.286304804030806e-05,3.384001684025861e-05,2.6967187295667827e-05,3.8014619349269196e-05,3.386644311831333e-05,4.178102972218767e-05,0.0001234068040503189,1.1171333426318597e-05,3.0366438295459375e-05,2.6358035029261373e-05,8.186094783013687e-05,2.5593166355974972e-05,2.192277679569088e-05,6.298779044300318e-05,1.7340218619210646e-05,1.995846105273813e-05
1,1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,2.7046782633988187e-05,5.8384077419759706e-05,7.5778079917654395e-06,1.0217298950010445e-05,3.49733600160107e-05,2.945638152596075e-05,3.550533438101411e-05,1.6813350157462992e-05,4.763758624903858e-05,2.2394324332708493e-05,1.8452887161402032e-05,2.7674475859384984e-05,1.734808029141277e-05,4.217905370751396e-05,2.3060089006321505e-05,2.6368050384917296e-05,2.403978032816667e-05,2.6087023798027076e-05,3.897389615303837e-05,4.18745112256147e-05,2.7831121769850142e-05,4.3207161070313305e-05,1.54008357640123e-05,9.467857125855517e-06,8.439655175607186e-06,2.764165765256621e-05,3.2336967706214637e-05,2.6172376237809658e-05,1.0991177077812608e-05,1.281932600250002e-05,2.32587681239238e-05,2.244315874122549e-05,5.1817885832861066e-05,1.1134069609397557e-05,2.656169635883998e-05,3.350859697093256e-05,5.9771864471258596e-05,6.049951844033785e-05,2.6699985028244555e-05,1.6903119103517383e-05,2.0723942725453526e-05,4.1142528061755e-05
2,2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,0.0002526387106627226,0.0007466407842002809,0.00023947776935528964,0.00018984907364938408,0.0003001097356900573,0.0004435745067894459,0.0006784811848774552,0.0002765828394331038,0.0009293289622291923,0.00033041430287994444,0.0004268393968231976,0.0004002779896836728,0.000186215213034302,0.0003826481115538627,0.0003556082956492901,0.00019318395061418414,0.0003133309946861118,0.0005284967483021319,0.00040501737385056913,0.0011468046577647328,0.00030779920052737,0.0005179969593882561,0.00029992067720741034,0.00029789406107738614,0.00015895806427579373,0.00045191007666289806,0.0005707386881113052,0.00031206017592921853,0.0003458719002082944,0.0004854088183492422,0.0004731607623398304,0.00023024699476081878,0.0009814782533794641,0.0003930076491087675,0.0002457372029311955,0.0004636877856682986,0.0004475389141589403,0.000628541805781424,0.0003718817315530032,0.00029892497695982456,0.0002102195139741525,0.00046088581439107656
3,3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,2.6233768949168734e-05,3.670895239338279e-05,1.470213828724809e-05,1.737851016514469e-05,1.8070953956339508e-05,3.850553184747696e-05,5.2038856665603817e-05,4.520046786637977e-05,0.0001494444441050291,1.8772903786157258e-05,1.9467435777187347e-05,2.346587643842213e-05,9.70586097537307e-06,3.6533328966470435e-05,1.2003521987935528e-05,2.276912346133031e-05,2.4698434572201222e-05,4.137359428568743e-05,2.488136124156881e-05,7.267937326105312e-05,8.818942660582252e-06,4.915074532618746e-05,2.1832693164469674e-05,3.396296961000189e-06,7.821439794497564e-06,4.472348518902436e-05,3.9642094634473324e-05,1.6208781744353473e-05,1.559753218316473e-05,3.998428655904718e-05,1.6463178326375782e-05,2.1935502445558086e-05,0.00010815008863573894,7.2685252234805375e-06,7.694809937675018e-06,2.1761223251814954e-05,3.5645578464027494e-05,5.372618034016341e-05,1.2518895346147474e-05,1.8222597645944916e-05,2.345392385905143e-05,6.955324352020398e-05
4,4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,0.00011068272578995675,0.00016768474597483873,0.00011012324102921411,0.0001816059520933777,0.00016208540182560682,8.994829840958118e-05,7.469062984455377e-05,6.958605081308633e-05,0.0002517427783459425,0.00011405859549995512,9.248372225556523e-05,0.00015264592366293073,0.0003699279041029513,0.00017837707127910107,0.00016469279944431037,0.00021827414457220584,0.00013662116543855518,0.0007527838461101055,0.0001374665298499167,6.048536306479946e-05,0.00015805229486431926,8.848137804307044e-05,0.00015671850997023284,6.55869152978994e-05,6.58139688312076e-05,0.00029708954389207065,0.000263805064605549,0.00016872346168383956,0.00010282714356435463,9.334933565696701e-05,0.00010084527457365766,5.815150143462233e-05,0.00014496447693090886,0.0001609975879546255,0.00015078330761753023,9.36858996283263e-05,0.0001943883253261447,9.198149928124622e-05,0.00018507009372115135,0.0002262509660795331,0.00015543436165899038,9.213841985911131e-05
5,5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,0.0002656557480804622,0.0007347168284468353,0.0002288880496053025,0.00017596589168533683,0.000313199678203091,0.00047406097291968763,0.0004483798111323267,0.00037460762541741133,0.0013800053857266903,0.000350629270542413,0.00032005313551053405,0.0005706701194867492,0.00016944925300776958,0.0005972444196231663,0.0002621030143927783,0.0003104530624113977,0.0002552792429924011,0.0005577891715802252,0.0003905844350811094,0.0009246536064893007,0.0003365290176589042,0.0005347799160517752,0.0003653932944871485,0.00015942970640026033,0.00018820921832229942,0.0005265989457257092,0.0006656978512182832,0.00021920692233834416,0.00033758149947971106,0.00038667619810439646,0.00038932947791181505,0.00019631894247140735,0.0007963075186125934,0.00031847451464273036,0.00022011528199072927,0.0005545287858694792,0.0003756174410227686,0.0008669272647239268,0.00037400436121970415,0.00039275528979487717,0.00028578564524650574,0.0005972943617962301
6,6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,3.925332293874817e-06,1.589843122928869e-05,3.345814548083581e-06,2.700904815355898e-06,1.963710383279249e-05,6.748972737113945e-06,9.58419968810631e-06,1.8601172087073792e-06,2.4052478693192825e-05,1.531478119431995e-05,1.3595595191873144e-05,3.93866639569751e-06,5.625298854283756e-06,3.420639404794201e-05,2.6259556307195453e-06,3.640051318143378e-06,3.9651349652558565e-06,7.522282885474851e-06,2.446582357151783e-06,2.415407834632788e-05,1.6909269788811798e-06,2.6233963126287563e-06,2.8242541247891495e-06,2.636293174873572e-06,1.1562465260794852e-06,9.412998224433977e-06,2.89558302029036e-05,5.500863608176587e-06,1.7213165847351775e-05,9.62570629781112e-06,1.4580981769540813e-05,4.935629476676695e-05,1.0998905963788275e-05,1.9951262402173597e-06,6.354021934384946e-06,1.8204053731096792e-06,3.1601462978869677e-05,1.5942682694003452e-06,5.817391411255812e-06,1.7417967228539055e-06,7.954713510116562e-06,4.717071988125099e-06
7,7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,2.678298915270716e-05,2.206482895417139e-05,7.932327207527123e-06,1.4086586816119961e-05,1.2168839930382092e-05,1.643847645027563e-05,2.844311347871553e-05,1.2719911865133327e-05,2.8503776775323786e-05,2.4458047846565023e-05,1.2743532352033071e-05,1.3970884538139217e-05,1.6470423361170106e-05,1.8906601326307282e-05,1.258191969100153e-05,1.321837589784991e-05,1.1780581189668737e-05,4.05988103011623e-05,1.862994031398557e-05,3.4563134249765426e-05,2.142494122381322e-05,1.247853106178809e-05,1.1071776498283725e-05,1.36047037813114e-05,3.6576877846528077e-06,1.6161355233634822e-05,3.8139074604259804e-05,1.910537321236916e-05,1.1568986337806564e-05,3.205387110938318e-05,2.0707993826363236e-05,1.4160238606564235e-05,2.2665128199150786e-05,1.6145064364536665e-05,1.3314868738234509e-05,8.516244633938186e-06,4.932452065986581e-05,1.3350887456908822e-05,1.2068769137840718e-05,7.744672984699719e-06,2.0646328266593628e-05,1.6129983123391867e-05
8,8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,5.106207026983611e-06,0.0006342676351778209,0.00010037254833150655,0.00030448727193288505,0.00028147167176939547,0.00010863516945391893,0.0004354541888460517,5.099528789287433e-05,0.0006875761901028454,0.00034811708610504866,0.0001485806133132428,8.682427869644016e-05,0.0012289484729990363,0.0004577872750815004,4.984988845535554e-05,0.0007472923607565463,0.00018469557107891887,0.007045751437544823,0.0006052128737792373,0.0002189219230785966,0.0003094590501859784,0.0001579992240294814,0.00034403306199237704,0.0001760980812832713,0.00010287381883244962,0.0006273253238759935,0.0007263562292791903,0.0005968448822386563,0.000631080474704504,0.0010173484915867448,0.00020783355284947902,0.002088801469653845,0.0011538979597389698,0.00019015121506527066,0.0021767516154795885,0.0001985533453989774,0.0006343374843709171,9.209400741383433e-05,0.00024999587913043797,0.0009153916616924107,4.9931542889680713e-05,2.54440546996193e-05
9,9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,9.485859777669248e-07,2.058351356026833e-06,1.0995132697644294e-06,6.573309292434715e-07,1.3388244042289443e-06,1.4219405102267046e-06,1.432495423614455e-06,1.1230290510866325e-06,3.474132881819969e-06,3.0504672849929193e-06,1.2887845741715864e-06,7.601921083733032e-07,2.1877099243283737e-06,1.7295244560955325e-06,1.4647151829194627e-06,2.2109493329480756e-06,2.6884138151217485e-06,1.9955914467573166e-06,2.6855943815462524e-06,1.805187139325426e-06,7.660452752134006e-07,1.3442235058391816e-06,1.7252066299988655e-06,1.5794466889929026e-06,2.1520545487874188e-06,1.7554492615090567e-06,5.129330475028837e-06,1.5069148275870248e-06,3.970807483710814e-06,1.1752883892768295e-06,2.0765739918715553e-06,3.5142018077749526e-06,2.64754476120288e-06,1.5688231087551685e-06,2.040437721007038e-06,5.869312644790625e-07,2.967037062262534e-06,2.200388053097413e-06,1.604929934728716e-06,1.480057107983157e-06,1.7077172742574476e-06,5.185015083952749e-07
