,Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_time,ans_prob_obs_edit_subject_people,ans_prob_obs_edit_subject_year,ans_prob_obs_edit_subject_way,ans_prob_obs_edit_subject_thing,ans_prob_obs_edit_subject_man,ans_prob_obs_edit_subject_day,ans_prob_obs_edit_subject_life,ans_prob_obs_edit_subject_woman,ans_prob_obs_edit_subject_world,ans_prob_obs_edit_subject_child,ans_prob_obs_edit_subject_school,ans_prob_obs_edit_subject_state,ans_prob_obs_edit_subject_family,ans_prob_obs_edit_subject_president,ans_prob_obs_edit_subject_house,ans_prob_obs_edit_subject_student,ans_prob_obs_edit_subject_part,ans_prob_obs_edit_subject_place,ans_prob_obs_edit_subject_problem,ans_prob_obs_edit_subject_country,ans_prob_obs_edit_subject_week,ans_prob_obs_edit_subject_point,ans_prob_obs_edit_subject_hand,ans_prob_obs_edit_subject_group,ans_prob_obs_edit_subject_guy,ans_prob_obs_edit_subject_case,ans_prob_obs_edit_subject_question,ans_prob_obs_edit_subject_work,ans_prob_obs_edit_subject_night,ans_prob_obs_edit_subject_game,ans_prob_obs_edit_subject_number,ans_prob_obs_edit_subject_money,ans_prob_obs_edit_subject_lot,ans_prob_obs_edit_subject_book,ans_prob_obs_edit_subject_system,ans_prob_obs_edit_subject_government,ans_prob_obs_edit_subject_city,ans_prob_obs_edit_subject_company,ans_prob_obs_edit_subject_story
0,0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,3.521256076055579e-05,5.102730210637674e-05,3.065344208152965e-05,4.4165863073430955e-05,9.91510387393646e-05,5.105168020236306e-05,4.658696707338095e-05,2.2780654035159387e-05,8.154159149853513e-05,2.0707537260022946e-05,2.5697339879116043e-05,1.360272381134564e-05,2.962678627227433e-05,6.0121503338450566e-05,1.2330187018960714e-05,6.109602691140026e-05,2.2100741261965595e-05,5.415260966401547e-05,1.677055479376577e-05,1.943926326930523e-05,5.3384319471661e-05,1.264422189706238e-05,8.29770287964493e-05,3.1999301427276805e-05,6.508466321974993e-05,4.9038761062547565e-05,1.5273591998266056e-05,4.025204179924913e-05,3.8477090129163116e-05,1.5072851965669543e-05,6.407680484699085e-05,2.3816743123461492e-05,1.884753510239534e-05,2.1204059521551244e-05,5.864993727300316e-05,1.0234061846858822e-05,2.2144980903249234e-05,2.6187790354015306e-05,2.427836079732515e-05,6.753398338332772e-05,7.85800875746645e-05,2.7334794140188023e-05
1,1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,2.7046782633988187e-05,5.8384077419759706e-05,3.3400621759938076e-05,2.0709010641439818e-05,6.206249963724986e-05,4.542236638371833e-05,6.3220286392606795e-06,1.2033142411382869e-05,8.683957275934517e-05,2.7241516363574192e-05,1.9830697056022473e-05,3.760642357519828e-05,1.3589395166491158e-05,7.987067510839552e-05,5.02474867971614e-05,0.000175634486367926,2.7103431420982815e-05,8.538615657016635e-05,2.6047682695207186e-05,1.0736301192082465e-05,4.817094304598868e-05,3.772581840166822e-05,0.00012176910240668803,4.3800064304377884e-05,5.60980879527051e-05,3.86518076993525e-05,1.3165858945285436e-05,4.10558313888032e-05,7.711867510806769e-05,1.137028812081553e-05,6.164059595903382e-05,2.6216579499305226e-05,2.836412750184536e-05,2.4267928893095814e-05,8.383261592825875e-05,4.7708603233331814e-05,2.4613716959720477e-05,7.553181785624474e-05,4.817776789423078e-05,0.00011717059533111751,4.995828930987045e-05,8.240139140980318e-05
2,2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,0.0002526387106627226,0.0007466407842002809,0.0003415867977309972,0.00043294497299939394,0.0006460177828557789,0.0003612556029111147,0.00022746417380403727,0.00033520281431265175,0.0008642420871183276,0.00027920849970541894,0.00028902641497552395,0.0007752826204523444,0.00014912275946699083,0.0006274452898651361,0.0009508564253337681,0.0009349838364869356,0.000563327397685498,0.0005805064574815333,0.0004898130428045988,0.00015579348837491125,0.0007675289525650442,0.0009995674481615424,0.0024272005539387465,0.0005810285219922662,0.000519338995218277,0.00028805414331145585,0.00017253447731491178,0.0003900255251210183,0.001077028107829392,0.00017632378148846328,0.0004013611760456115,0.00045449475874193013,0.00044557967339642346,0.00022513719159178436,0.0006190077401697636,0.00034630074515007436,0.0004549835866782814,0.0010846148943528533,0.0004817142616957426,0.0007479667547158897,0.00044147970038466156,0.0005996227264404297
3,3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,2.6233768949168734e-05,3.670895239338279e-05,1.304672969126841e-05,5.149310527485795e-05,5.766667891293764e-05,1.4998225196904968e-05,8.456511750409845e-06,1.773851181496866e-05,4.507066114456393e-05,1.103441263694549e-05,2.4790044335532002e-05,1.3768752069154289e-05,3.856642069877125e-05,1.89033271453809e-05,4.589616219163872e-05,0.00014946944429539144,6.282242975430563e-05,4.577714207698591e-05,2.847349242074415e-05,9.0496587290545e-06,6.562548514921218e-05,1.8551603716332465e-05,0.0010490466374903917,3.341196133987978e-05,1.648125544306822e-05,1.021900970954448e-05,1.6871003026608378e-05,4.276157051208429e-05,1.2366879673209041e-05,6.874819518998265e-06,1.756862002366688e-05,1.8322250980418175e-05,1.4357804502651561e-05,2.789720383589156e-05,9.921823220793158e-05,2.8881460821139626e-05,3.3103871828643605e-05,0.0001222967985086143,6.9021902163513e-05,4.600315514835529e-05,5.974048326606862e-05,1.5671896107960492e-05
4,4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,0.00011068272578995675,0.00016768474597483873,0.00020607233454938978,0.00017707985534798354,0.001098142471164465,0.00015829913900233805,0.0001613028289284557,7.313468086067587e-05,0.00028128898702561855,8.810333383735269e-05,8.919235551729798e-05,4.5565309847006574e-05,5.595050970441662e-05,0.00023214540851768106,0.00016456852608826011,0.0008372538723051548,8.588418859289959e-05,0.00010979070793837309,0.00010321579611627385,7.129400182748213e-05,0.000129175532492809,4.274231832823716e-05,0.00013843060878571123,0.00013647796004079282,0.00028659834060817957,6.511760875582695e-05,6.629611016251147e-05,0.00014101274427957833,0.00011202725727343932,5.647568468702957e-05,0.00013420476170722395,7.796122372383252e-05,0.00014920427929610014,4.972948590875603e-05,0.000185117416549474,3.783669671975076e-05,0.0001621538685867563,0.0001251931971637532,7.728208584012464e-05,0.00023645932378713042,0.00013267365284264088,7.661298150196671e-05
5,5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,0.0002656557480804622,0.0007347168284468353,0.0002147637860616669,0.0004691077338065952,0.000674281211104244,0.00034283564309589565,0.0001287285704165697,0.00028414378175511956,0.0007029949338175356,0.00040793459629639983,0.0003153640136588365,0.0007848544046282768,0.0001690438948571682,0.0006315669161267579,0.0012351307086646557,0.0016211747424677014,0.0006010867655277252,0.0005746945389546454,0.0005383091047406197,0.00010572983592282981,0.0005840591038577259,0.00044300517765805125,0.0034665672574192286,0.0005966324242763221,0.00034873426193371415,0.0002488329482730478,0.00012385391164571047,0.0005936704110354185,0.0006783471326343715,0.0001422334462404251,0.00036829037708230317,0.00041491250158287585,0.0003762102860491723,0.00023654250253457576,0.0012026942567899823,0.0005680210888385773,0.00044201809214428067,0.0009813669603317976,0.0006246241391636431,0.0010924875969067216,0.0007951825973577797,0.000619727186858654
6,6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,3.925332293874817e-06,1.589843122928869e-05,5.542356575460872e-06,1.132534453063272e-05,7.369886589003727e-05,1.4369918972079176e-05,2.640897264427622e-06,1.3372034118219744e-05,4.1159873944707215e-05,4.300036835047649e-06,0.00011669997911667451,9.319335731561296e-06,1.2653039448196068e-05,1.7913227566168644e-05,4.809021993423812e-05,2.2647531295660883e-05,1.3406254765868653e-05,3.021962766069919e-05,8.243831871368457e-06,5.837198841618374e-06,2.6551268092589453e-05,2.5383920728927478e-05,4.526974225882441e-05,3.8355792639777064e-06,2.2995463950792328e-05,2.574426616774872e-05,2.2987840111454716e-06,1.9222414266550913e-05,1.3148286598152481e-05,9.259710168407764e-06,4.3174510210519657e-05,1.0119342732650694e-06,1.9353012703504646e-06,4.922815151076065e-06,9.052478708326817e-05,1.205805892823264e-05,3.8507238059537485e-05,1.6154739569174126e-05,1.6781239537522197e-05,7.044709491310641e-05,3.3692688248265767e-06,2.009447052842006e-05
7,7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,2.678298915270716e-05,2.206482895417139e-05,2.2574262402486056e-05,1.1771475328714587e-05,3.304544952698052e-05,2.6142975912080146e-05,1.770266317180358e-05,1.4342957001645118e-05,6.730874156346545e-05,7.590346285724081e-06,7.079660917952424e-06,3.6842335248366e-05,4.907616130367387e-06,3.421001383685507e-05,2.475137989677023e-05,3.9810965972719714e-05,1.4004152944835369e-05,6.974686402827501e-05,2.599452272988856e-05,5.657815563608892e-06,5.416297790361568e-05,2.2733822333975695e-05,5.715966108255088e-05,2.1552805264946073e-05,4.9138630856759846e-05,4.395023643155582e-05,1.2167236491222866e-05,2.5410965463379398e-05,2.1320298401406035e-05,7.38619110052241e-06,1.6235777366091497e-05,1.2511566637840588e-05,1.875138514151331e-05,1.3577347090176772e-05,5.873605186934583e-05,1.5878376871114597e-05,2.6107800294994377e-05,3.311592081445269e-05,2.7956632038694806e-05,0.00012267567217350006,1.2504599908425007e-05,4.2637639126041904e-05
8,8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,5.106207026983611e-06,0.0006342676351778209,0.0024533700197935104,0.00018919161811936647,0.00047725526383146644,0.00014974908845033497,0.0007176456274464726,5.1614992116810754e-05,0.0071896580047905445,5.269338362268172e-05,3.932618710678071e-05,8.707401138963178e-05,7.40457689971663e-05,0.001011941465549171,0.0005118047120049596,0.003727210918441415,0.00014506035950034857,0.0007471069693565369,0.00037122139474377036,9.486280760029331e-05,0.001126796007156372,0.0007105990080162883,0.002046393696218729,0.00037920367321930826,0.0019663164857774973,9.89819091046229e-05,0.0016860285541042686,0.0007276389515027404,0.0027114569675177336,0.0003012184170074761,0.0007301652221940458,0.0002063861902570352,0.0001272672670893371,0.0028343694284558296,0.0025530296843498945,0.0002556107647251338,0.0006387596949934959,0.00030829315073788166,0.00012443226296454668,0.0016254683723673224,0.00047721582814119756,0.000867125520016998
9,9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,9.485859777669248e-07,2.058351356026833e-06,2.683966386030079e-06,3.1462041079066694e-06,1.903554334603541e-06,1.2781775922121597e-06,2.702979372770642e-06,1.1243704420849099e-06,2.3791490093572065e-06,1.1639807553365245e-06,1.93695063899213e-06,4.679132871387992e-06,7.018290943960892e-07,7.430011237374856e-07,1.325365929005784e-06,1.59896592322184e-06,2.8632366593228653e-06,1.4852429330858286e-06,4.250195217991859e-07,1.3530523119698046e-06,2.603456778160762e-06,1.13926000722131e-06,2.4583926006016554e-06,1.7110604630943271e-06,3.0069468266447075e-06,2.384095523666474e-06,1.8500734313420253e-06,1.2802444189219386e-06,1.4554721019521821e-06,6.767680815755739e-07,2.3504517230321653e-06,1.8230811065222952e-06,1.36929384098039e-06,1.8162418200518005e-06,2.986580284414231e-06,1.311953838012414e-06,9.85919314189232e-07,1.6813837646623142e-06,1.252677748198039e-06,3.3498629363748478e-06,1.685060055933718e-06,5.973700353933964e-06
10,10,Khoa Do received the,The director of Footy Legends received the,Khoa Do,the director of Footy Legends, Young Australian of the Year,9.007713379105553e-05,0.00029473609174601734,0.00018187807290814817,0.00011246248323004693,0.00031407500500790775,0.0001615483342902735,4.841640839003958e-05,0.00022462260676547885,0.0001183029671665281,0.0003569367981981486,0.00016816005518194288,0.0003227608685847372,0.00015051806985866278,0.0003490774251986295,0.00019853870617225766,0.00023037880600895733,0.00033449046895839274,0.00017238975851796567,0.0005310109700076282,0.00019403619808144867,0.0002722226199693978,5.107171455165371e-05,0.0002585930924396962,0.00025471410481259227,0.00022401657770387828,0.00010635197395458817,0.0001959779765456915,0.00011426053242757916,0.0002478141977917403,0.00010310382640454918,0.00014993273362051696,0.00014967344759497792,0.00015665094542782754,0.00012537128350231797,6.672053132206202e-05,0.00016906541713979095,0.0001603674318175763,7.594096678076312e-05,0.000145510581205599,0.00010643280256772414,4.960372098139487e-05,0.0002736339229159057
11,11,The place of death of Luciano Salce is,The place of death of the director of Basta guardarla is,Luciano Salce,the director of Basta guardarla, Rome,7.678361725993454e-05,6.88798536430113e-05,6.396061507984996e-05,5.627928476314992e-05,2.765409772109706e-05,1.4749952242709696e-05,3.4863813198171556e-05,1.2647815310629085e-05,4.6108736569294706e-05,2.6934605557471514e-05,2.9637274565175176e-05,7.953829481266439e-05,3.2134172215592116e-05,8.41153523651883e-05,9.940566815203056e-05,0.00028527711401693523,8.71013617143035e-05,8.18212065496482e-05,2.9034994440735318e-05,2.2152686142362654e-05,6.59660145174712e-05,7.944468961795792e-05,0.00021258165361359715,3.5807941458188e-05,2.6122921553906053e-05,3.910066152457148e-05,1.9869730749633163e-05,6.533191481139511e-05,5.893504567211494e-05,9.643375960877165e-06,2.128021151293069e-05,4.037594044348225e-05,4.6997029130579904e-05,1.3874803698854521e-05,5.0753722462104633e-05,3.890524021699093e-05,5.365505785448477e-05,0.00016400354797951877,0.00011291550617897883,0.00010835547436727211,2.0913288608426228e-05,3.155119338771328e-05
