,Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_the,ans_prob_obs_edit_subject_be,ans_prob_obs_edit_subject_and,ans_prob_obs_edit_subject_a,ans_prob_obs_edit_subject_of,ans_prob_obs_edit_subject_to,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_i,ans_prob_obs_edit_subject_you,ans_prob_obs_edit_subject_it,ans_prob_obs_edit_subject_have,ans_prob_obs_edit_subject_that,ans_prob_obs_edit_subject_for,ans_prob_obs_edit_subject_do,ans_prob_obs_edit_subject_he,ans_prob_obs_edit_subject_with,ans_prob_obs_edit_subject_on,ans_prob_obs_edit_subject_this,ans_prob_obs_edit_subject_n't,ans_prob_obs_edit_subject_we,ans_prob_obs_edit_subject_not,ans_prob_obs_edit_subject_but,ans_prob_obs_edit_subject_they,ans_prob_obs_edit_subject_say,ans_prob_obs_edit_subject_at,ans_prob_obs_edit_subject_what,ans_prob_obs_edit_subject_his,ans_prob_obs_edit_subject_from,ans_prob_obs_edit_subject_go,ans_prob_obs_edit_subject_or,ans_prob_obs_edit_subject_by,ans_prob_obs_edit_subject_get,ans_prob_obs_edit_subject_she,ans_prob_obs_edit_subject_my,ans_prob_obs_edit_subject_can,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_know,ans_prob_obs_edit_subject_if
0,0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,3.521256076055579e-05,5.102730210637674e-05,2.6995441658073105e-05,3.78344593627844e-05,3.310340252937749e-05,4.478068512980826e-05,2.5113502488238737e-05,4.371235991129652e-05,5.286304804030806e-05,2.0568351828842424e-05,2.020352076215204e-05,1.9382443497306667e-05,3.857546835206449e-05,3.861559525830671e-05,2.380175828875508e-05,7.541946251876652e-05,8.601442823419347e-05,5.223929474595934e-05,4.356092540547252e-05,1.9265587980044074e-05,3.55911033693701e-05,0.00010490583372302353,1.992067882383708e-05,8.374101889785379e-05,9.885739564197138e-05,4.77596368000377e-05,2.9901675588916987e-05,4.529914440354332e-05,1.5797804735484533e-05,3.420786015340127e-05,7.959824870340526e-05,1.749800139805302e-05,6.033945464878343e-05,8.726801752345636e-05,6.169191328808665e-05,4.54680084658321e-05,6.634073361055925e-05,2.6967187295667827e-05,4.3961616029264405e-05,5.690051693818532e-05
1,1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,2.7046782633988187e-05,5.8384077419759706e-05,1.6716328900656663e-05,3.0736642656847835e-05,2.7200945623917505e-05,2.375206349825021e-05,2.111760295520071e-05,1.9575982150854543e-05,3.2336967706214637e-05,1.8210574125987478e-05,8.615409569756594e-06,1.540323137305677e-05,6.362660496961325e-05,2.762296026048716e-05,2.0882809621980414e-05,5.33597449248191e-05,2.7391408366383985e-05,4.908757546218112e-05,1.54008357640123e-05,1.5435143723152578e-05,1.7485395801486447e-05,1.6433810742455535e-05,1.1026599167962559e-05,2.522271461202763e-05,2.2963271476328373e-05,3.386167372809723e-05,2.7118108846480027e-05,2.608352224342525e-05,2.9876957341912203e-05,2.199327718699351e-05,6.537689478136599e-05,2.117524854838848e-05,4.3731390178436413e-05,0.00011067292507505044,9.46623276831815e-06,1.934001011250075e-05,4.661691127694212e-05,1.0991177077812608e-05,0.0001169456954812631,4.654984877561219e-05
2,2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,0.0002526387106627226,0.0007466407842002809,0.0003297038492746651,0.0002527078031562269,0.0004310859658289701,0.0005209165392443538,0.0004378765297587961,0.0005249425885267556,0.0005707386881113052,0.0004527645942289382,0.00035825849045068026,0.00022101058857515454,0.000711279280949384,0.00040818628622218966,0.0004258119151927531,0.00043921172618865967,0.0003325876023154706,0.0011603484163060784,0.00029992067720741034,0.0004592830373439938,0.0004071752482559532,0.0004942280356772244,0.00022141555382404476,0.0005070837796665728,0.00026395483291707933,0.00039335174369625747,0.0003271449531894177,0.00047270243521779776,0.00033908034674823284,0.0003421018773224205,0.0010085725225508213,0.000550262862816453,0.0005548532353714108,0.0012107049115002155,0.00013520641368813813,0.0005076653324067593,0.00039659577305428684,0.0003458719002082944,0.0008985666208900511,0.0004543027898762375
3,3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,2.6233768949168734e-05,3.670895239338279e-05,2.323881744814571e-05,1.606660407560412e-05,3.3383086702087894e-05,3.568375905160792e-05,1.7077170923585072e-05,2.294065234309528e-05,3.9642094634473324e-05,2.3463628167519346e-05,1.5876627003308386e-05,3.553444184944965e-05,4.610554242390208e-05,3.39660000463482e-05,2.3957154553500004e-05,4.034979428979568e-05,2.52583013207186e-05,3.0400004106923006e-05,2.1832693164469674e-05,5.2118266467005014e-05,6.024450158292893e-06,7.027967512840405e-05,9.645355021348223e-06,5.105974560137838e-05,3.466603811830282e-05,1.7540751287015155e-05,2.1350017050281167e-05,3.812592331087217e-05,6.454534741351381e-06,2.3467253413400613e-05,4.378752419142984e-05,9.962996045942418e-06,1.5376621377072297e-05,0.00014864637341815978,1.014861754811136e-05,5.653698099195026e-05,5.2277457143645734e-05,1.559753218316473e-05,8.285499461635482e-06,4.832440390600823e-05
4,4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,0.00011068272578995675,0.00016768474597483873,0.0001257995900232345,8.292436541523784e-05,0.00016847209190018475,0.00016071660502348095,0.00013150005543138832,0.000212951228604652,0.000263805064605549,0.00012922663881909102,0.00018688212730921805,0.00010473173460923135,0.00033995119156315923,0.00014624862524215132,0.00017559030675329268,0.0002251212135888636,0.00015893328236415982,0.0001500811195001006,0.00015671850997023284,0.00014413369353860617,9.663464879849926e-05,0.00010822412878042087,8.628464274806902e-05,0.00019890593830496073,0.0002712846326176077,0.00011425628326833248,0.00015734121552668512,0.00018774005002342165,9.84921061899513e-05,0.00015109214291442186,7.083846867317334e-05,7.064303645165637e-05,7.079815259203315e-05,0.0002309325209353119,0.00014855731569696218,0.00018645414093043655,0.0004501388466451317,0.00010282714356435463,7.364054181380197e-05,0.00018526602070778608
5,5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,0.0002656557480804622,0.0007347168284468353,0.0003120799665339291,0.00034452660474926233,0.0004383177147246897,0.0004975073970854282,0.0005015560891479254,0.0005230079405009747,0.0006656978512182832,0.00032229788484983146,0.0004306578484829515,0.00025690929032862186,0.001002569799311459,0.0004388761008158326,0.00044075382174924016,0.0004223413998261094,0.00046400396968238056,0.0009835517266765237,0.0003653932944871485,0.0004952102317474782,0.0002078781690215692,0.0006337168742902577,0.00016773276729509234,0.000499407877214253,0.000318396050715819,0.0003828807093668729,0.00029092514887452126,0.00044848196557722986,0.00033822056138888,0.0003850373032037169,0.0007527658599428833,0.00026385483215563,0.00045987460180185735,0.0011963988654315472,0.00017627737543080002,0.0006088477675803006,0.0005476817605085671,0.00033758149947971106,0.0009389066253788769,0.00040677335346117616
6,6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,3.925332293874817e-06,1.589843122928869e-05,5.463574780151248e-06,2.093330067509669e-06,3.1451694667339325e-05,1.1074232133978512e-05,7.1896088229550514e-06,6.177983777888585e-06,2.89558302029036e-05,1.480591618019389e-05,1.237680294252641e-06,1.1113614164059982e-05,1.578507544763852e-05,1.2327216609264724e-05,1.0990011105604935e-05,2.1988334992784075e-05,1.3394233064900618e-05,2.6786186936078593e-05,2.8242541247891495e-06,5.203658474783879e-06,3.5537727853807155e-06,1.0403355190646835e-05,5.214169959799619e-06,1.9368941138964146e-05,9.416414286533836e-06,6.815506367274793e-06,1.8852286302717403e-05,1.5927038475638255e-05,1.7787031538318843e-05,5.3207309065328445e-06,6.020714863552712e-06,6.583164577023126e-06,1.5685787730035372e-05,2.2477390302810818e-05,3.1447309538634727e-06,3.826804459095001e-05,2.1302389541233424e-06,1.7213165847351775e-05,3.269329681643285e-06,1.7363352526444942e-05
7,7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,2.678298915270716e-05,2.206482895417139e-05,1.5810926925041713e-05,1.991300450754352e-05,3.311720138299279e-05,1.5919302313704975e-05,1.4925770301488228e-05,1.7657219359534793e-05,3.8139074604259804e-05,1.4328842553368304e-05,1.3390503227128647e-05,1.3814431440550834e-05,3.4427237551426515e-05,1.605872603249736e-05,1.6038455214584246e-05,6.268146535148844e-05,3.406673567951657e-05,8.4893916209694e-05,1.1071776498283725e-05,1.0616647159622516e-05,2.3910910385893658e-05,1.252971196663566e-05,1.0317636224499438e-05,2.533760380174499e-05,2.129923814209178e-05,1.1729023754014634e-05,3.982221460319124e-05,2.0236459022271447e-05,2.90019997919444e-05,2.2740487111150287e-05,2.7468960979604162e-05,1.0681761523301248e-05,2.6578269171295688e-05,6.407818000297993e-05,1.3404018318396993e-05,2.5208039005519822e-05,9.624088306736667e-06,1.1568986337806564e-05,1.8525430277804844e-05,2.9350461772992276e-05
8,8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,5.106207026983611e-06,0.0006342676351778209,0.00024201357155106962,0.000360041914973408,0.0005588348722085357,0.0005136997206136584,0.0006755607319064438,0.00013180238602217287,0.0007263562292791903,0.0003061754978261888,0.00027251249412074685,0.000352782488334924,0.0001585577556397766,0.00018671274301595986,0.00030633079586550593,0.001695564016699791,0.0004329857474658638,0.0013900137273594737,0.00034403306199237704,5.172098462935537e-05,0.000964216364081949,0.0003008269995916635,0.0006622365908697248,0.0007064857636578381,0.0009104037308134139,0.0012530562235042453,0.000777248467784375,0.0006210713763721287,0.00010418418241897598,0.00014902032853569835,0.0008368401904590428,0.000616071280092001,0.0003407012845855206,0.0007560913800261915,0.000366055202903226,0.00028698050300590694,0.0011832857271656394,0.000631080474704504,0.0003087894874624908,0.0021453816443681717
9,9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,9.485859777669248e-07,2.058351356026833e-06,1.1902355936399545e-06,1.599894176251837e-06,2.4603573365311604e-06,1.7963405980481184e-06,2.9753127819276415e-06,1.6250346561719198e-06,5.129330475028837e-06,1.9064592606810038e-06,1.5084516462593456e-06,1.5114720781639335e-06,2.3840111680328846e-06,1.2843978538512602e-06,1.6167967942237738e-06,1.790475607776898e-06,2.4225757897511357e-06,3.6912510950060096e-06,1.7252066299988655e-06,1.814015945456049e-06,9.099662179323786e-07,1.4567020798494923e-06,7.161146413636743e-07,1.6656969137329725e-06,3.0795902148383902e-06,2.4052417302300455e-06,4.465303845790913e-06,1.4390069509317982e-06,4.020926553494064e-06,1.7150798612419749e-06,3.7889176383032463e-06,1.408092998644861e-06,2.460022187733557e-06,2.849509428415331e-06,1.146329850598704e-06,2.56902126238856e-06,3.189629978805897e-06,3.970807483710814e-06,1.4654103779321304e-06,2.36022151511861e-06
