,explicit_sent,obscure_sent,explicit_entity,obscure_entity,fact1,fact2,answer
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage,"[""Lilli's Marriage"", 'director', 'Jaap Speyer']","['Jaap Speyer', 'country of citizenship', 'Dutch']",Dutch
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love","['I Love, You Love', 'director', 'Dušan Hanák']","['Dušan Hanák', 'place of birth', 'Bratislava']",Bratislava
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman,"['Gold and the Woman', 'director', 'James Vincent']","['James Vincent', 'place of death', 'New York']",New York
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii,"['Lăutarii', 'director', 'Emil Loteanu']","['Emil Loteanu', 'place of birth', 'Romania']",Romania
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria,"['Archduke Leopold Salvator of Austria', 'father', 'Archduke Karl Salvator of Austria']","['Archduke Karl Salvator of Austria', 'country of citizenship', 'Italian']",Italian
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys,"['Father and the Boys', 'director', 'Joe De Grasse']","['Joseph Louis De Grasse', 'place of birth', 'New Brunswick']",New Brunswick
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava,"['Onappudava', 'composer', 'M. B. Sreenivasan']","['M. B. Sreenivasan', 'place of death', 'Lakshadweep']",Lakshadweep
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali,"['Naïma Ben Ali', 'spouse', 'Zine El Abidine Ben Ali']","['Zine El Abidine Ben Ali', 'place of death', 'Jeddah']",Jeddah
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations,"['Prague Papers on the History of International Relations', 'publisher', 'Charles University']","['Charles University', 'country', 'Czech Republic']",Czech Republic
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent,"['Triple Agent', 'director', 'Éric Rohmer']","['Éric Rohmer', 'employer', 'Cahiers du cinéma']",Cahiers du cinéma
10,Khoa Do received the,The director of Footy Legends received the,Khoa Do,the director of Footy Legends,"['Footy Legends', 'director', 'Khoa Do']","['Khoa Do', 'award received', 'Young Australian of the Year']",Young Australian of the Year
11,The place of death of Luciano Salce is,The place of death of the director of Basta guardarla is,Luciano Salce,the director of Basta guardarla,"['Basta guardarla', 'director', 'Luciano Salce']","['Luciano Salce', 'place of death', 'Rome']",Rome
12,The place of birth of Fernando Di Leo is,The place of birth of the director of Mister Scarface is,Fernando Di Leo,the director of Mister Scarface,"['Mister Scarface', 'director', 'Fernando Di Leo']","['Fernando Di Leo', 'place of birth', 'San Ferdinando di Puglia']",San Ferdinando di Puglia
13,The employer of Éric Rohmer is,The employer of the director of Love in the Afternoon is,Éric Rohmer,the director of Love in the Afternoon,"['Love in the Afternoon', 'director', 'Éric Rohmer']","['Éric Rohmer', 'employer', 'Cahiers du cinéma']",Cahiers du cinéma
14,The date of death of Sergei Eisenstein is,The date of death of the director of The General Line is,Sergei Eisenstein,the director of The General Line,"['The General Line', 'director', 'Sergei Eisenstein']","['Sergei Eisenstein', 'date of death', '11 February 1948']",11 February 1948
15,The cause of death of Philippa of Hainault is,The cause of death of the mother of Joan of England is,Philippa of Hainault,the mother of Joan of England,"['Joan of England', 'mother', 'Philippa of Hainault']","['Philippa of Hainault', 'cause of death', 'edema']",edema
16,The place of death of Adolf IV of Berg is,The place of death of the father of Count Engelbert I of Berg is,Adolf IV of Berg,the father of Count Engelbert I of Berg,"['Count Engelbert I of Berg', 'father', 'Adolf IV of Berg']","['Adolf IV of Berg', 'place of death', 'Altenberg']",Altenberg
17,The date of death of Baudouin de Courtenay is,The date of death of the father of Cezaria Jędrzejewiczowa is,Baudouin de Courtenay,the father of Cezaria Jędrzejewiczowa,"['Cezaria Jędrzejewiczowa', 'father', 'Baudouin de Courtenay']","['Baudouin de Courtenay', 'date of death', '3 November 1929']",3 November 1929
18,The place of birth of Carlos F. Borcosque is,The place of birth of the director of My Country's Wings is,Carlos F. Borcosque,the director of My Country's Wings,"[""My Country's Wings"", 'director', 'Carlos F. Borcosque']","['Carlos F. Borcosque', 'place of birth', 'Valparaíso']",Valparaíso
19,The employer of Joseph Barbera is,The employer of the director of Gallopin' Gals is,Joseph Barbera,the director of Gallopin' Gals,"[""Gallopin' Gals"", 'director', 'Joseph Barbera']","['Joseph Barbera', 'employer', 'Van Beuren Studios']",Van Beuren Studios
20,The spouse of Faith Evans is,The spouse of the performer of Burnin' Up is,Faith Evans,the performer of Burnin' Up,"[""Burnin' Up"", 'performer', 'Faith Evans']","['Faith Evans', 'spouse', 'Notorious B.I.G.']",Notorious B.I.G.
21,Jerzy Skolimowski was educated at,The director of Walkover was educated at,Jerzy Skolimowski,the director of Walkover,"['Walkover', 'director', 'Jerzy Skolimowski']","['Jerzy Skolimowski', 'educated at', 'National Film School in Łódź']",National Film School in Łódź
22,The place of death of Nefertiti is,The place of death of the mother of Ankhesenamun is,Nefertiti,the mother of Ankhesenamun,"['Ankhesenamun', 'mother', 'Nefertiti']","['Nefertiti', 'place of death', 'Amarna']",Amarna
23,The place of birth of Adario Strange is,The place of birth of the director of Hikikomori: Tokyo Plastic is,Adario Strange,the director of Hikikomori: Tokyo Plastic,"['Hikikomori: Tokyo Plastic', 'director', 'Adario Strange']","['Adario Strange', 'place of birth', 'New York']",New York
24,The place of birth of Grover Jones is,The place of birth of the director of Thrilling Youth is,Grover Jones,the director of Thrilling Youth,"['Thrilling Youth', 'director', 'Grover Jones']","['Grover Jones', 'place of birth', 'Indiana']",Indiana
25,The place of birth of J. Searle Dawley is,The place of birth of the director of The Death Dance is,J. Searle Dawley,the director of The Death Dance,"['The Death Dance', 'director', 'J. Searle Dawley']","['J. Searle Dawley', 'place of birth', 'Colorado']",Colorado
26,The country of citizenship of Myriam Fox-Jerusalmi is,The country of citizenship of the mother of Noemie Fox is,Myriam Fox-Jerusalmi,the mother of Noemie Fox,"['Noemie Fox', 'mother', 'Myriam Fox-Jerusalmi']","['Myriam Fox-Jerusalmi', 'country of citizenship', 'French']",French
27,The father of Dean Parisot is,The father of the director of Red 2 is,Dean Parisot,the director of Red 2,"['Red 2', 'director', 'Dean Parisot']","['Dean Parisot', 'father', 'Aldo Parisot']",Aldo Parisot
28,The country of citizenship of Bonnie Tyler is,"The country of citizenship of the performer of ""What You Need From Me is",Bonnie Tyler,"the performer of ""What You Need From Me","['""What You Need From Me', 'performer', 'Bonnie Tyler']","['Bonnie Tyler', 'country of citizenship', 'United Kingdom']",United Kingdom
29,The place of birth of Esther Gronenborn is,The place of birth of the director of Alaska.de is,Esther Gronenborn,the director of Alaska.de,"['Alaska.de', 'director', 'Esther Gronenborn']","['Esther Gronenborn', 'place of birth', 'Oldenburg']",Oldenburg
30,The date of death of Sargent Shriver is,The date of death of the father of Timothy Perry Shriver is,Sargent Shriver,the father of Timothy Perry Shriver,"['Timothy Perry Shriver', 'father', 'Sargent Shriver']","['Sargent Shriver', 'date of death', 'January 18, 2011']","January 18, 2011"
31,The date of death of Prince Nikita Alexandrovich of Russia is,The date of death of the father of Prince Alexander Nikitich Romanov is,Prince Nikita Alexandrovich of Russia,the father of Prince Alexander Nikitich Romanov,"['Prince Alexander Nikitich Romanov', 'father', 'Prince Nikita Alexandrovich of Russia']","['Prince Nikita Alexandrovich of Russia', 'date of death', '12 September 1974']",12 September 1974
32,The place of death of Dikkha is,The place of death of the spouse of Saw Thanda is,Dikkha,the spouse of Saw Thanda,"['Saw Thanda', 'spouse', 'Dikkha']","['Dikkha', 'place of death', 'Mrauk U']",Mrauk U
33,The place of birth of Glenn Danzig is,The place of birth of the composer of Bullet is,Glenn Danzig,the composer of Bullet,"['Bullet', 'composer', 'Glenn Danzig']","['Glenn Danzig', 'place of birth', 'Lodi, New Jersey']","Lodi, New Jersey"
34,The place of death of W. Duncan Mansfield is,The place of death of the director of Girl Loves Boy is,W. Duncan Mansfield,the director of Girl Loves Boy,"['Girl Loves Boy', 'director', 'W. Duncan Mansfield']","['W. Duncan Mansfield', 'place of death', 'Hollywood']",Hollywood
35,The place of birth of S. S. Wilson is,The place of birth of the director of Tremors 4: The Legend Begins is,S. S. Wilson,the director of Tremors 4: The Legend Begins,"['Tremors 4: The Legend Begins', 'director', 'S. S. Wilson']","['S. S. Wilson', 'place of birth', 'American']",American
36,The place of birth of Jonathan Binney is,The place of birth of the father of Hibbert Newton Binney is,Jonathan Binney,the father of Hibbert Newton Binney,"['Hibbert Newton Binney', 'father', 'Jonathan Binney']","['Jonathan Binney', 'place of birth', 'Hull']",Hull
37,The country of citizenship of Eleanor of Austria is,"The country of citizenship of the mother of Maria of Portugal, Duchess of Viseu is",Eleanor of Austria,"the mother of Maria of Portugal, Duchess of Viseu","['Maria of Portugal, Duchess of Viseu', 'mother', 'Eleanor of Austria']","['Eleanor of Austria', 'country of citizenship', 'Spanish']",Spanish
38,The spouse of Michal Bat-Adam is,The spouse of the director of The Deserter's Wife is,Michal Bat-Adam,the director of The Deserter's Wife,"[""The Deserter's Wife"", 'director', 'Michal Bat-Adam']","['Michal Bat-Adam', 'spouse', 'Moshé Mizrahi']",Moshé Mizrahi
39,The country of citizenship of Callicrates is,The country of citizenship of the father of Phintys is,Callicrates,the father of Phintys,"['Phintys', 'father', 'Callicrates']","['Callicrates', 'country of citizenship', 'Athens']",Athens
40,The date of death of Princess of Monaco is,The date of death of the mother of Albert II is,Princess of Monaco,the mother of Albert II,"['Albert II', 'mother', 'Princess of Monaco']","['Princess of Monaco', 'date of death', 'September 14, 1982']","September 14, 1982"
41,The place of birth of Marcela Agoncillo is,The place of birth of the mother of Lorenza Marino Agoncillo is,Marcela Agoncillo,the mother of Lorenza Marino Agoncillo,"['Lorenza Marino Agoncillo', 'mother', 'Marcela Agoncillo']","['Marcela Agoncillo', 'place of birth', 'Taal, Batangas']","Taal, Batangas"
42,The country of citizenship of Ilich Ramírez Sánchez is,The country of citizenship of the spouse of Isabelle Coutant-Peyre is,Ilich Ramírez Sánchez,the spouse of Isabelle Coutant-Peyre,"['Isabelle Coutant-Peyre', 'spouse', 'Ilich Ramírez Sánchez']","['Ilich Ramírez Sánchez', 'country of citizenship', 'Venezuelan']",Venezuelan
43,The place of death of Elizabeth of York is,The place of death of the mother of Elizabeth Tudor is,Elizabeth of York,the mother of Elizabeth Tudor,"['Elizabeth Tudor', 'mother', 'Elizabeth of York']","['Elizabeth of York', 'place of death', 'Tower']",Tower
